type;source_sentence
1;Zapytała ją o to psycholożka.
1;Niezależnie więc od tego, co tak naprawdę myślą o Dziwiszu, liczą, że spłynie na nich publiczna łaska papieża - tłumaczy psycholog społeczny.
1;Dziś przyszła do nas psycholog i próbowała wyjaśnić, co się stało.
1;Biegły seksuolog stwierdził, że mężczyzna ma skłonność do gerontofilii - cierpiący na tę dewiację czują zadowolenie seksualne tylko w kontaktach ze starszymi osobami.
1;Zdania na temat pedagożki są podzielone.
1;Natomiast wiem , że żaden ekolog nie zaprotestował z powodu tego, że ludziom kazano pracować w jednej z najbardziej dochodowych fabryk na trzeciej zmianie w niedziele.
1;Pedagożka mówi, o co chodzi w tzw. ustawie Kamilka
1;Mówi, że filolożka spokojnie mogłaby zrezygnować z pracy i utrzymywać się jedynie z udzielania korepetycji.
1;O, niech pan łaskawie spojrzy tu, na ten nekrolog.
0;Poprawka nr 8 rozszerza katalog organów, którym w czasie stanu wyjątkowego można nakazać wykonywanie czynności technicznych niezbędnych do prowadzenia cenzury lub kontroli, o organy administracji samorządowej, usuwając jednocześnie błąd w nazwie organów administracji rządowej w województwie.
0;Takim typowym świeckim nekrologiem jest nekrolog który po prostu zawiadamia o śmierci konkretnego człowieka i o dacie i miejscu jego pochowania.
1;Dotyczy to także tolerancji, która była kryptonimem różnych poglądów - bronił kolegi, z którym przez wiele lat pracował jako pedagog.
1;Przed sądem w Opolu stanie ginekolog: zdaniem prokuratury wmawia pacjentkom, że są w ciąży, i wyłudza od nich pieniądze za fikcyjne zabiegi aborcyjne.
1;Najwidoczniej miał tego dość – przypuszcza w gazetach seksuolog.
1;Za największego znawcę ich zachowań uchodzi holenderski prymatolog.
1;"Socjolog twierdzi, że tylko ucieczka w ortodoksję może przedłużyć życie społeczności, która za cel obiera sobie permanentne ""nie"" dla świata zewnętrznego."
1;Jego dziecko, onkolog, należy do komunistycznej inteligencji, która po wojnie domowej i upadku ELAS - jeśli udało jej się uniknąć plutonu egzekucyjnego czy obozów reedukacyjnych - rozproszyła się na emigracji, głównie w Europie Wschodniej.
0;Księgę zamyka niewielki epilog spisany prozą (42, 7-7), składający się z dwóch części.
0;Tak, blog ma trochę skomplikowaną nazwę.
1;Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, socjolog.
0;Dialog półinteligentów równa się monologowi ćwierćinteligenta.
1;Znajomy onkolog podpowie, gdzie są dobre i bezpłatne badania.
0;Cholera to na pewno Bareje też na indeks wezmą i zakażą, za kultowy monolog o popierdoloności narodu francuskiego.
0;W porozumieniu podkreślono, że zasadami działania rządu koalicyjnego są: sprawiedliwe rozkładanie wyrzeczeń, przy konsekwentnej ochronie najbiedniejszych, poszanowanie demokracji, otwarcie na dialog społeczny.
1;Na znalezisko natknął się archeolog wynajęty do prac przez Wojewódzkie Służby Ochrony Zabytków w Olsztynie.
1;Psycholog Jagna Ambroziak rozmawia z Pauliną (28 lat), której chłopak nagle stał się domatorem.
1;Chociaż może drugim punktem ich statutu jest stwierdzenie, że ekolog ma zawsze racje, obojętnie jakie są argumenty drugiej strony.
0;Na próżno byśmy jednak poszukiwali tych utworów w różnego rodzaju bibliografiach, z Estreicherową na czele, jak również w Centralnym Katalogu Starych Druków, pieczołowicie uzupełnianym przez pracowników Biblioteki Narodowej, w której się ów katalog znajduje.
0;Katalog - jak twierdzi - zawiera dane ok. 80 proc. firm działających w województwie.
0;Wydawało mi się, że prowadzę z drzewem bezgłośny dialog.
0;Jest nekrolog: jakiś staruszek, ponad dziewięćdziesiąt lat.
1;Dlatego postanowiliśmy do szkoły zaprosić lekarza, który tłumaczy, jakie to niebezpieczne - dodaje pedagog szkoły.
1;Potem socjolog wywodził coś bardzo teoretycznie.
0;Zakończył dialog mówiący o polskich wydarzeniach więcej niż powie niejedna książka.
1;Biolog z University of Texas w Austin, wystąpił z interesującą sugestią – być może nasze upodobanie do alkoholu zrodziło się jako pożyteczne przystosowanie pomagające w przeszłości naszemu gatunkowi przeżyć trudne czasy niedostatku pożywienia.
1;Astrobiolog Bruce Runnegar wraz z kolegami z University of California w Los Angeles wysunął dość nietypową hipotezę, że zarzewiem katastrofy było drobne, chaotyczne zakłócenie w ruchu planet.
1;Przypatrywałem się mu w jego rozmaitych wcieleniach, jak entomolog przypatruje się swym lotnym ofiarom, kiedy dostaną się już w jego siatkę - to znaczy: bezlitośnie, lecz nie beznamiętnie.
1;Polakom podoba się ten rozmach, imponuje mnogość towarów - twierdzi psycholog.
1;Syndrom wyuczonej bezradności sprawia, że tak naprawdę nie mają ochoty rezygnować z życia na dworcach - przypomina psycholog.
1;O pogorszeniu się klimatu wokół polityki w ostatnich latach, zwiększeniu rozczarowania i poczucia dystansu do polityków mówi socjolog z Uniwersytetu Warszawskiego.
1;Jest pan znany jako wybitny sowietolog.
