type,source_sentence,target_sentence
0,"Jest dobrym dielektrykiem, o przenikalności elektrycznej zależnej od kierunku, w temperaturze pokojowej względna przenikalność elektryczna w osi 11 wynosi 4,58, a w osi 33 – 4,70.","Jest dobrym dielektrykiem, o przenikalności elektrycznej zależnej od kierunku, w temperaturze pokojowej względna przenikalność elektryczna w osi 11 wynosi 4,58, a w osi 33 – 4,70."
0,Wyewoluowały one ze swych teropodzich przodków w okresie jury.,Wyewoluowały one ze swych teropodzich przodków w okresie jury.
0,Jest tam także muzeum bursztynu i zakłady jego przeróbki.,Jest tam także muzeum bursztynu i zakłady jego przeróbki.
0,"Rozrzewniało nas teraz każde jej parsknięcie, każde ruszenie ogonem.","Rozrzewniało nas teraz każde jej parsknięcie, każde ruszenie ogonem."
0,"Spod wielkiej granatowej czapy wyglądały sine, białawym puszkiem porośnięte uszy, z których prawe ozdobione było srebrnym kolczykiem.","Spod wielkiej granatowej czapy wyglądały sine, białawym puszkiem porośnięte uszy, z których prawe ozdobione było srebrnym kolczykiem."
0,"U wybrzeży Wielkiej Brytanii występują pływy morskie, do 15 m w estuarium Severn, co jest drugą wysokością na świecie (po zatoce Fundy).","U wybrzeży Wielkiej Brytanii występują pływy morskie, do 15 m w estuarium Severn, co jest drugą wysokością na świecie (po zatoce Fundy)."
0,A. huxleyi jest obecnie najmniejszym znanym nieptasim dinozaurem opisanym na podstawie szkieletu osobnika dorosłego.,A. huxleyi jest obecnie najmniejszym znanym nieptasim dinozaurem opisanym na podstawie szkieletu osobnika dorosłego.
1,"Na skutek zabiegów strony polskiej, która zagwarantowała pełną współpracę w wyjaśnianiu całej afery, polscy przemytnicy w mundurach zostali zwolnieni, przekazani stronie polskiej i zakwaterowani po stronie syryjskiej, gdzie jurysdykcja policji izraelskiej nie sięga.","Na skutek zabiegów strony polskiej, która zagwarantowała pełną współpracę w wyjaśnianiu całej afery, polskie osoby przemytnicze w mundurach zostały zwolnione, przekazane stronie polskiej i zakwaterowane po stronie syryjskiej, gdzie jurysdykcja policji izraelskiej nie sięga."
0,Jaki to był tryumfalny pochód!,Jaki to był tryumfalny pochód!
0,"Pojedynczy bocian miałby trudności z odszukiwaniem prądów powietrznych, musiałby więc wydatkować na przelot więcej energii niż mógłby jej nagromadzić.","Pojedynczy bocian miałby trudności z odszukiwaniem prądów powietrznych, musiałby więc wydatkować na przelot więcej energii niż mógłby jej nagromadzić."
0,Jego nazwa dobrze jest znana poznańskim kobietom - mammograf.,Jego nazwa dobrze jest znana poznańskim kobietom - mammograf.
0,— Filip! — krzyknęła — a kożuch?,— Filip! — krzyknęła — a kożuch?
0,"Era kenozoiczna, kenozoik – era, która rozpoczęła się ok.","Era kenozoiczna, kenozoik – era, która rozpoczęła się ok."
0,W wyniku amerykańskiej walki o niepodległość (1775–1783) Wielka Brytania musiała uznać niepodległość swoich 13 kolonii.,W wyniku amerykańskiej walki o niepodległość (1775–1783) Wielka Brytania musiała uznać niepodległość swoich 13 kolonii.
0,"Wchodzi także w skład Rady Europy, G7, G20, NATO, OECD oraz WTO.","Wchodzi także w skład Rady Europy, G7, G20, NATO, OECD oraz WTO."
0,"Ozon pochłania duże ilości promieniowania ultrafioletowego w stratosferze, ogrzewając ją.","Ozon pochłania duże ilości promieniowania ultrafioletowego w stratosferze, ogrzewając ją."
0,Jodła (Abies alba) – najlepsze właściwości ma drewno pozyskiwane z drzew stuletnich.,Jodła (Abies alba) – najlepsze właściwości ma drewno pozyskiwane z drzew stuletnich.
0,"Na próżno byśmy jednak poszukiwali tych utworów w różnego rodzaju bibliografiach, z Estreicherową na czele, jak również w Centralnym Katalogu Starych Druków, pieczołowicie uzupełnianym przez pracowników Biblioteki Narodowej, w której się ów katalog znajduje.","Na próżno byśmy jednak poszukiwali tych utworów w różnego rodzaju bibliografiach, z Estreicherową na czele, jak również w Centralnym Katalogu Starych Druków, pieczołowicie uzupełnianym przez pracowników Biblioteki Narodowej, w której się ów katalog znajduje."
0,Być może najgłośniejsza krytyka popłynęła z ust Alana Feduccii i Theagartena Linghama-Soliara.,Być może najgłośniejsza krytyka popłynęła z ust Alana Feduccii i Theagartena Linghama-Soliara.
1,Po ostrym proteście MSZ sędzia federalny z Nowego Jorku Eugene Nickerson wystosował wczoraj formalną prośbę do polskich władz o pomoc w tej sprawie.,Po ostrym proteście MSZ federalna osoba sędziowska z Nowego Jorku Eugene Nickerson wystosowała wczoraj formalną prośbę do polskich władz o pomoc w tej sprawie.
0,"Używając jednej z powyższych definicji, dinozaury można ogólnie opisać jako archozaury z kończynami ustawionymi pionowo pod tułowiem.","Używając jednej z powyższych definicji, dinozaury można ogólnie opisać jako archozaury z kończynami ustawionymi pionowo pod tułowiem."
0,— Niech jaśnie pan dołoży choć z dziesiątkę!,— Niech jaśnie pan dołoży choć z dziesiątkę!
0,Miasto ma duże tradycje naukowe.,Miasto ma duże tradycje naukowe.
0,Przemysłowa hodowla drobiu.,Przemysłowa hodowla drobiu.
0,Większe zwierzęta zamieszkują obszary o większej powierzchni.,Większe zwierzęta zamieszkują obszary o większej powierzchni.
0,Co mi tam po starym gracie!,Co mi tam po starym gracie!
0,"Wzrost tempa ruchu strumieni lodowcowych w tej części kontynentu bywa jednak tłumaczony zwiększonym napływem ciepłej wody z głębin oceanu, tuż przy krawędzi szelfu kontynentalnego.","Wzrost tempa ruchu strumieni lodowcowych w tej części kontynentu bywa jednak tłumaczony zwiększonym napływem ciepłej wody z głębin oceanu, tuż przy krawędzi szelfu kontynentalnego."
0,"Pod koniec okresu kredowego, około 66 milionów lat temu, na Antarktydzie (połączonej z Australią) występowały jeszcze klimaty tropikalny i subtropikalny, żyły na niej również torbacze.","Pod koniec okresu kredowego, około 66 milionów lat temu, na Antarktydzie (połączonej z Australią) występowały jeszcze klimaty tropikalny i subtropikalny, żyły na niej również torbacze."
1,– Recepcjonistka umilkła na moment.,– Osoba pracująca w recepcji umilkła na moment.
0,To kosztuje!,To kosztuje!
0,"Widok z Zatoki Anzac na półwysep Gallipoli, tuż po wyładowaniu 25 kwietnia 1915.","Widok z Zatoki Anzac na półwysep Gallipoli, tuż po wyładowaniu 25 kwietnia 1915."
0,"Legendarne postacie przedstawiające częściowo ptaki a częściowo inne zwierzęta lub człowieka obecne są, np. w mitologii sumeryjskiej (Anzu) – przejęty później w mitologiach greckiej i rzymskiej jako Gryf – a w folklorze rosyjskim Syrin była odpowiednikiem greckich syren.","Legendarne postacie przedstawiające częściowo ptaki a częściowo inne zwierzęta lub człowieka obecne są, np. w mitologii sumeryjskiej (Anzu) – przejęty później w mitologiach greckiej i rzymskiej jako Gryf – a w folklorze rosyjskim Syrin była odpowiednikiem greckich syren."
0,Naturalnymi roślinami Aruby są kserofity.,Naturalnymi roślinami Aruby są kserofity.
