type,source_sentence,target_sentence
0,Zrzut ekranu z edytora graficznego silnika PlayCanvas.,Zrzut ekranu z edytora graficznego silnika PlayCanvas.
0,Silnik gry komputerowej (ang. game engine) – główna część kodu gry komputerowej dostępna wraz ze zintegrowanym środowiskiem programistycznym zaprojektowanym dla osób i zespołów tworzących gry komputerowe.,Silnik gry komputerowej (ang. game engine) – główna część kodu gry komputerowej dostępna wraz ze zintegrowanym środowiskiem programistycznym zaprojektowanym dla osób i zespołów tworzących gry komputerowe.
0,Silnik gry zajmuje się interakcją pomiędzy elementami gry.,Silnik gry zajmuje się interakcją pomiędzy elementami gry.
0,"Może mieć wbudowane moduły grafiki, wejścia, sieci czy też AI, wykrywania kolizji między obiektami gry itd.","Może mieć wbudowane moduły grafiki, wejścia, sieci czy też AI, wykrywania kolizji między obiektami gry itd."
0,Może także korzystać z oddzielnych silników implementujących obsługę wymienionych modułów.,Może także korzystać z oddzielnych silników implementujących obsługę wymienionych modułów.
0,Silnik gry jest często błędnie utożsamiany z silnikiem graficznym lub silnikiem 3D.,Silnik gry jest często błędnie utożsamiany z silnikiem graficznym lub silnikiem 3D.
0,Najczęściej jest on projektowany i realizowany z użyciem paradygmatu obiektowego.,Najczęściej jest on projektowany i realizowany z użyciem paradygmatu obiektowego.
0,"Producenci gier korzystają z gotowych silników lub też sami je tworzą, przy czym praktycznie zawsze silnikowi towarzyszą narzędzia, dzięki którym można stworzyć pewne elementy gry bez ingerencji w kod źródłowy silnika.","Producenci gier korzystają z gotowych silników lub też sami je tworzą, przy czym praktycznie zawsze silnikowi towarzyszą narzędzia, dzięki którym można stworzyć pewne elementy gry bez ingerencji w kod źródłowy silnika."
0,Ciasto marchewkowe.,Ciasto marchewkowe.
0,Szwajcarski placek Rüblitorte udekorowany lukrem i marchewkami z marcepanu.,Szwajcarski placek Rüblitorte udekorowany lukrem i marchewkami z marcepanu.
0,Kawałek tortu marchwiowego.,Kawałek tortu marchwiowego.
0,"Ciasto marchewkowe (z ang. carrot cake) – słodki placek z tartą marchewką, szczególnie popularny w krajach anglosaskich.","Ciasto marchewkowe (z ang. carrot cake) – słodki placek z tartą marchewką, szczególnie popularny w krajach anglosaskich."
0,"Marchewka mięknie podczas pieczenia, nadając ciastu miękką, gęstą i wilgotną konsystencję.","Marchewka mięknie podczas pieczenia, nadając ciastu miękką, gęstą i wilgotną konsystencję."
0,"Nazwa jest nieco myląca, ponieważ ciasto marchewkowe bardziej przypomina owocowy chleb, aniżeli tradycyjny, słodki placek: najpierw miesza się mokre składniki (tłuszcz, jajka oraz marchew), potem suche (mąkę, sodę, proszek do pieczenia, przyprawy, cukier), a ostatecznie łączy wszystko razem.","Nazwa jest nieco myląca, ponieważ ciasto marchewkowe bardziej przypomina owocowy chleb, aniżeli tradycyjny, słodki placek: najpierw miesza się mokre składniki (tłuszcz, jajka oraz marchew), potem suche (mąkę, sodę, proszek do pieczenia, przyprawy, cukier), a ostatecznie łączy wszystko razem."
0,"Surowa masa nie jest gładka, raczej gęsta i grudkowata.","Surowa masa nie jest gładka, raczej gęsta i grudkowata."
