type,source_sentence,target_sentence
0,"Zaczęło się to od starego łóżka, cośmy na nim we trzech sypiali.","Zaczęło się to od starego łóżka, cośmy na nim we trzech sypiali."
0,"Tego dnia ojciec zły czegoś z rzeki wrócił i, siadłszy na ławie, ręką głowę potarł.","Tego dnia ojciec zły czegoś z rzeki wrócił i, siadłszy na ławie, ręką głowę potarł."
0,"Pytała się matka raz i drugi, co mu, ale dopiero za trzecim razem odpowiedział, że się ta robota koło żwiru skończyła i że szkapa tylko piasek wozić będzie.","Pytała się matka raz i drugi, co mu, ale dopiero za trzecim razem odpowiedział, że się ta robota koło żwiru skończyła i że szkapa tylko piasek wozić będzie."
0,"Zaraz mnie Felek szturchnął w bok, a matka jęknęła z cicha.","Zaraz mnie Felek szturchnął w bok, a matka jęknęła z cicha."
0,"Chodził, medytował, po kątach pozierał, aż stanął przed matką i rzekł:","Chodził, medytował, po kątach pozierał, aż stanął przed matką i rzekł:"
0,"— Co chłopakom po łóżku, Anulka?","— Co chłopakom po łóżku, Anulka?"
0,"Sypiam ja na ziemi, toż i oni mogą.","Sypiam ja na ziemi, toż i oni mogą."
0,Spojrzeliśmy po sobie.,Spojrzeliśmy po sobie.
0,Dwie złote iskry zabłysły w siwych oczach Felka.,Dwie złote iskry zabłysły w siwych oczach Felka.
0,Prawda!,Prawda!
0,Co nam po łóżku?,Co nam po łóżku?
0,"Piotrusia tylko pilnować trzeba, żeby z niego nie spadł.","Piotrusia tylko pilnować trzeba, żeby z niego nie spadł."
0,"— Dalej! jazda! — krzyknął Felek, i, zanim odpowiedzieć zdążyła, jużeśmy we trzech siennik na ziemię ściągnęli, a Felek kozły wywracać na nim zaczął.","— Dalej! jazda! — krzyknął Felek, i, zanim odpowiedzieć zdążyła, jużeśmy we trzech siennik na ziemię ściągnęli, a Felek kozły wywracać na nim zaczął."
0,"Po ściągnięciu wszakże siennika okazało się, że desek w łóżku brakuje dwóch, a bok jeden ze wszystkim odłazi.","Po ściągnięciu wszakże siennika okazało się, że desek w łóżku brakuje dwóch, a bok jeden ze wszystkim odłazi."
0,"Nie chciał o łóżku ani gadać, pieniądze, naliczone miedziakami, zgarnął w mieszek, związał i za chałat na piersi zasunął.","Nie chciał o łóżku ani gadać, pieniądze, naliczone miedziakami, zgarnął w mieszek, związał i za chałat na piersi zasunął."
0,"Opuścił mu ojciec dziesiątkę, potem dwie, potem złotówkę całą, ale się Żydzisko uparło.","Opuścił mu ojciec dziesiątkę, potem dwie, potem złotówkę całą, ale się Żydzisko uparło."
0,"Z sieni dopiero brodę do izby wsadził, postępując pół rubla bez siedmiu groszy, jeśli mu ojciec i poduszkę sprzeda.","Z sieni dopiero brodę do izby wsadził, postępując pół rubla bez siedmiu groszy, jeśli mu ojciec i poduszkę sprzeda."
0,"Zawahał się ojciec, spojrzał na nas, spojrzał na matkę; wszystkiego razem miało być jedenaście złotych.","Zawahał się ojciec, spojrzał na nas, spojrzał na matkę; wszystkiego razem miało być jedenaście złotych."
0,"— Cóż, chłopaki? — zapytał wreszcie — obejdziecie się bez poduszki tymczasem, póki matka chora?","— Cóż, chłopaki? — zapytał wreszcie — obejdziecie się bez poduszki tymczasem, póki matka chora?"
0,"— Ojej! — wrzasnął Felek przyduszonym głosem, gdyż właśnie na głowie stał, a nie zmieniając pozycji, poduszkę na izbę cisnął.","— Ojej! — wrzasnął Felek przyduszonym głosem, gdyż właśnie na głowie stał, a nie zmieniając pozycji, poduszkę na izbę cisnął."
0,Chwycił ją Piotruś i na Felka rzucił.,Chwycił ją Piotruś i na Felka rzucił.
0,— Ale bez poszewki! — odezwała się słabym głosem matka.,— Ale bez poszewki! — odezwała się słabym głosem matka.
0,"Po ściągnięciu wszakże poszewki okazało się, że poduszka w jednym rogu rozpruta, i że się z niej pierze sypie.","Po ściągnięciu wszakże poszewki okazało się, że poduszka w jednym rogu rozpruta, i że się z niej pierze sypie."
0,"Targ w targ, zgodził się z ojcem na całe dwa ruble, żeby mu jeszcze kołdrę naszą dodać.","Targ w targ, zgodził się z ojcem na całe dwa ruble, żeby mu jeszcze kołdrę naszą dodać."
0,Ojciec spojrzał na matkę.,Ojciec spojrzał na matkę.
0,"Była tak osłabiona i blada, że wyglądała, jak martwa, leżąc na wznak, z głęboko zapadłymi oczami.","Była tak osłabiona i blada, że wyglądała, jak martwa, leżąc na wznak, z głęboko zapadłymi oczami."
0,— Anulka? — szepnął ojciec pytająco.,— Anulka? — szepnął ojciec pytająco.
0,"Ale matkę chwycił kaszel, więc odpowiedzieć nie mogła.","Ale matkę chwycił kaszel, więc odpowiedzieć nie mogła."
0,"— My tam kołdry, proszę ojca, nie chcemy! — krzyknął Felek.","— My tam kołdry, proszę ojca, nie chcemy! — krzyknął Felek."
0,"My się tylko o tę kołdrę co noc bić musimy.","My się tylko o tę kołdrę co noc bić musimy."
0,Niech Wicek powie!,Niech Wicek powie!
0,"— Prawda, proszę ojca! — potwierdziłem gorliwie.","— Prawda, proszę ojca! — potwierdziłem gorliwie."
0,"Co noc się bić musimy, bo spada.","Co noc się bić musimy, bo spada."
0,Wybiegliśmy za nim z tryumfem na podwórko.,Wybiegliśmy za nim z tryumfem na podwórko.
0,Będziemy teraz na ziemi na sienniku spali!,Będziemy teraz na ziemi na sienniku spali!
0,— Wielka parada! — odkrzyknął blady Józiek od krawca z lewej oficyny.,— Wielka parada! — odkrzyknął blady Józiek od krawca z lewej oficyny.
0,Zaimponował nam.,Zaimponował nam.
0,"Sypianie takie nie było więc już, widać, wynalazkiem naszym.","Sypianie takie nie było więc już, widać, wynalazkiem naszym."
0,"Biegałem aż dwa razy do apteki, bo matce znów było gorzej.","Biegałem aż dwa razy do apteki, bo matce znów było gorzej."
0,"Ale kiedy przyszedł wieczór, tośmy ledwie ziemniaków dojeść mogli, tak nam pilno było na siennik, któryśmy sobie ułożyli w kąciku za piecem.","Ale kiedy przyszedł wieczór, tośmy ledwie ziemniaków dojeść mogli, tak nam pilno było na siennik, któryśmy sobie ułożyli w kąciku za piecem."
0,"Felek to nawet z chlebem w ręku do pacierza klęknął i, oglądając się raz wraz na siennik, w trzy migi Ojcze nasz i Zdrowaś przeszeptał, takżem ja ofiarowania nie zaczął, a on już się w piersi bił, aż dudniało w izbie, i, tylko katankę zrzuciwszy, zaraz się od pieca położył.","Felek to nawet z chlebem w ręku do pacierza klęknął i, oglądając się raz wraz na siennik, w trzy migi Ojcze nasz i Zdrowaś przeszeptał, takżem ja ofiarowania nie zaczął, a on już się w piersi bił, aż dudniało w izbie, i, tylko katankę zrzuciwszy, zaraz się od pieca położył."
0,"Co prawda, to i ja miałem myśl, żeby się od pieca położyć; ale mi się z Felkiem zaczynać nie chciało, więc palnąłem go w ucho i położyłem się od ściany, a Piotrusia tośmy między siebie wzięli.","Co prawda, to i ja miałem myśl, żeby się od pieca położyć; ale mi się z Felkiem zaczynać nie chciało, więc palnąłem go w ucho i położyłem się od ściany, a Piotrusia tośmy między siebie wzięli."
0,"Zrazu zdawało mi się, że mi głowa gdzieś z karku ucieka, bom do poduszki nawykł, ale potem podłożyłem sobie łokieć i dobrze.","Zrazu zdawało mi się, że mi głowa gdzieś z karku ucieka, bom do poduszki nawykł, ale potem podłożyłem sobie łokieć i dobrze."
0,"— Czymże ja was, robaki, odzieję? — rzekł ojciec, patrząc, jakeśmy się jeden do drugiego tulili.","— Czymże ja was, robaki, odzieję? — rzekł ojciec, patrząc, jakeśmy się jeden do drugiego tulili."
