type;source_sentence
0;Na północy pokrywa śnieżna sięga pół metra.
0;Co tu dużo  gadać, mam porządnego pietra.
1;U młodej dziewczyny psychiatra z Modusa rozpoznał początki choroby psychicznej, dziewczyna myśli o samobójstwie.
1;Pracuje jako pediatra, więc czasu na pielenie grządek ma tyle, ile snu odmówi sobie bladym świtem: - Jadę na działkę rano, przed pracą, traktuję to jak poranną gimnastykę... - mówi.
1;Psychiatra przysuwa krzesło do leżanki i siada obok Bartodzieja z notesem w ręku.
1;Tymi wynikami badań nie jest zaskoczony Robert N. Butler, geriatra z Nowego Jorku.
1;"Psychiatra uznał, że z pacjentem wszystko w porządku, ale oczywiście całe miasteczko już szeptało, że to ""psychiczny""."
0;Amator kąpieli po skoku nie wypłynął. Zbiornik fontanny ma około dwóch i pół metra głębokości.
0;Ale w kilkanaście minut później ta sama dziewczyna cisnęła w Adriana żółtą puszką po piwie tatra i zmusiła krzykami, aby się wycofał ze swojego ulubionego pokoju.
1;Dr Maja Herman to psychiatrka, która aktywnie wypowiada się w mediach na tematy zdrowotne i społeczne.
1;Leczył się u niej z depresji, twierdzi, że psychiatrka zaproponowała mu seks.
1;Optometrka prowadząca synka używa Cyclopentolatu.
1;Ten optometra, do którego poszłam, ma całkiem solidne wykształcenie.
1;Geriatrka radzi szczególnie uważnie przyglądać się tzw. trudnym przypadkom - takim, u których nie działają leki, którzy wymuszają kolejną receptę, kolejne skierowanie, u których nie można znaleźć konkretnej patologii albo po raz kolejny zmieniane są leki, bo nie działają.
