type,source_sentence,target_sentence
1,Robią to dziewiarze na dziewiarskich maszynach.,Robią to osoby dziewiarskie na dziewiarskich maszynach.
1,Wtedy wyraźnie widać czym inpirował się autor.,Wtedy wyraźnie widać czym inpirowała się osoba autorska.
1,"Cieśla często sam powleka drewno środkami grzybobójczymi, owadobójczymi i uodparniającymi na ogień oraz przeciwdziałającymi przyczepności betonu do drewna.","Osoba ciesielska często sam powleka drewno środkami grzybobójczymi, owadobójczymi i uodparniającymi na ogień oraz przeciwdziałającymi przyczepności betonu do drewna."
1,"Wynikałoby też przynajmniej, że koalicjanci nie zamierzają walczyć między sobą w ten sposób, rezerwując ewentualnie takie metody do walki z pozakoalicyjnym przeciwnikiem.","Wynikałoby też przynajmniej, że osoby koalicjanckie nie zamierzają walczyć między sobą w ten sposób, rezerwując ewentualnie takie metody do walki z pozakoalicyjną osobą przeciwniczą."
1,"Poseł od 1997 r. Andrzej Markowiak - 54 l., inżynier mechanik.","Osoba poselska od 1997 r. Andrzej Markowiak - 54 l., osoba inżynierska mechanicza."
1,"Rozwiązując swoją drugą zagadkę kryminalną, młoda detektywka po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego","Rozwiązując swoją drugą zagadkę kryminalną, młoda osoba detektywistyczna po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego"
1,Straciła zezwolenie i została oskarżona. 72-letnia farmaceutka sprzedawała więcej niż jej pracownicy.,Straciła zezwolenie i została oskarżona. 72-letnia osoba farmaceucka sprzedawała więcej niż jej pracownicy.
1,Jeszcze jedna wychowawczyni była w czasie jakichś tam zaocznych studiów biologii.,Jeszcze jedna osoba wychowawcza była w czasie jakichś tam zaocznych studiów biologii.
1,- Takich dramatów można uniknąć! - apelują lekarze.,- Takich dramatów można uniknąć! - apelują osoby lekarskie.
1,"Dawna studentka Szkoły Filmowej w Pradze, Agnieszka Holland, dla Polskiego Radia: ""Nie wiem, kto wpadł na ten pomysł, jak to się zrodziło.","Dawna osoba studencka Szkoły Filmowej w Pradze, Agnieszka Holland, dla Polskiego Radia: ""Nie wiem, kto wpadł na ten pomysł, jak to się zrodziło."
1,"Niemieccy policjanci twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.","Niemieckie osoby policjanckie twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem."
1,"Bo przez tych ludzi, których spotkałem, pracując jako psychoterapeuta, poznałem potem Michała Lorenca.","Bo przez tych ludzi, których spotkałem, pracując jako osoba psychoterapeucka, poznałem potem Michała Lorenca."
1,"Ale dostrzegam i inny, bardzo aktualny kontekst tego pytania: w jakim stopniu pozycja złotego zależy od wypowiedzi polityków.","Ale dostrzegam i inny, bardzo aktualny kontekst tego pytania: w jakim stopniu pozycja złotego zależy od wypowiedzi osób polityckich."
1,Sędzia także to zauważył.,Osoba sędziowska także to zauważył.
1,"Że pusto?... no, bo... jak właścicielka często choruje...","Że pusto?... no, bo... jak osoba właścicielska często choruje..."
1,"Lekarze i pielęgniarki o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.","Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem."
1,"Prezydent to zrobił, żeby Krajowa Rada nie była zbyt długo bez szefa.","Osoba prezydencka to zrobiła, żeby Krajowa Rada nie była zbyt długo bez osoby szefowskiej."
1,"Na przykład ""Zyta Gilowska jest agentką"".","Na przykład ""Zyta Gilowska jest osobą agencką”."
1,14.01.1928 urodził się Tadeusz Dominik - jeden z najwybitniejszych malarzy polskich.,14.01.1928 urodził się Tadeusz Dominik - jedna z najwybitniejszych polskich osób malarskich.
1,"Na przykład: ""W sprawie urlopu bezpłatnego zwrócę się do dyrektora.","Na przykład: ""W sprawie urlopu bezpłatnego zwrócę się do osoby dyrektorskiej."
1,"Stary stenograf najpierw westchnął, a potem rozpostarł ręce, wyciągnął je ku niebu i krzyknął.","Stary stenograf najpierw westchnął, a potem rozpostarł ręce, wyciągnął je ku niebu i krzyknął."
1,"Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. kanclerzowi, potwierdził wczoraj szef komisji Volker Neumann.","Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. osobie kanclerskiej, potwierdziła wczoraj osoba szefująca komisji Volker Neumann."
1,"Bo jak Stary Jadźkę zabije, to nie kto inny, a Komendant będzie miał kłopoty.","Bo jak Stary Jadźkę zabije, to nie kto inny, a Osoba Komendancka będzie miał kłopoty."
1,Nie ma takiego leku ani terapii - mówi psychoterapeuta Lin Jing Hua.,Nie ma takiego leku ani terapii - mówi osoba psychoterapeucka Lin Jing Hua.
