type;source_sentence
1;Zwyciężyła po raz pierwszy kobieta, 22-letnia Portugalka.
1;Wszyscy byli po imieniu, bo terapeutka tak kazała.
1;Główną bohaterką książki S. K. Vaughn jest Maryam „May” Knox, czarnoskóra astronautka, która osiągnęła znaczny sukces zawodowy.
1;Właścicielka 3 aptek we Wrocławiu, 72-letnia farmaceutka w ciągu zaledwie 5 lat sprzedała w swoich placówkach 200 tysięcy opakowań leków z pseudoefedryną.
1;Straciła zezwolenie i została oskarżona. 72-letnia farmaceutka sprzedawała więcej niż jej pracownicy.
1;Farmaceuta z definicji specjalizuje się w dwóch dziedzinach - jakości leku oraz skuteczności i bezpieczeństwa farmakoterapii.
1;Jak wygląda droga do zostania geodetą i jakie wymagania trzeba spełnić, aby uzyskać uprawnienia?
1;Geodeta zajmuje się m.in. wykonywaniem pomiarów terenowych, sporządzaniem map, planów sytuacyjnych oraz inwentaryzacyjnych.
1;Geodeta na budowie również jest niezbędny do zawiadomienia o zakończeniu budowy obiektu budowlanego.
1;Geodetka z AGH opowiadała w TVP o swojej pracy.
1;Wróżbita przepowiedział Tomkowi że będzie długo żył i w dalekim kraju znajdzie to czego inni szukają.
1;Nasz wróżbita przepowiedział, że czekają nas wielkie zmiany.
1;Ciągle chodzi Ci po głowie, że może go mieć ta wróżbitka.
1;Ta wróżbitka wie wszystko na Twój temat!
1;Podczas pierwszej wizyty ortodonta przeprowadza szczegółowy wywiad, dokonuje badania klinicznego i ocenia dokumentację medyczną.
1;Aby móc oferować zabiegi korekcyjne, ortodonta bada ruch zębów.
1;Jako ortodontka zajmuję się wadami zgryzu.
1;Fizjoterapeutka z doświadczeniem w pracy z dziećmi i dorosłymi od 2008 roku.
0;Fotografia lub odbitka znaku towarowego może być wykonana dowolną techniką umożliwiającą ich reprodukcję.
0;Starsza kobieta, niestety, uwierzyła w tę bajeczkę.
0;Kobieta całuje go w czoło.
1;Istnieją wszelkie przesłanki do przypuszczenia, że pierwszy astronauta - także Rosjanin - wyląduje na Księżycu w roku 1970.
1;Farmaceuta to jeden z najbardziej pożądanych zawodów na rynku pracy województwa śląskiego.
0;Sylwetka ćmy jest krępa, lecz niewielkich rozmiarów.
1;Nie chcę nic sugerować, ale jest tam jedna fajna, prawie bezbłędna poetka.
1;A prawdziwy poeta to młodo umrzeć powinen.
1;Kto by nie chciał mieć wszystkiego w tubce, jak kosmonautka?
1;Bo przez tych ludzi, których spotkałem, pracując jako psychoterapeuta, poznałem potem Michała Lorenca.
0;Gdy dwaj bracia, w wieku 22 i 24 lat poczuli się źle, wezwano pogotowie, ale zanim dojechała karetka, starszy mężczyzna zmarł.
