type;source_sentence
0;Mogę potępiać dzisiejsze gry Jarosława Kaczyńskiego, ale nigdy nie posunę się do twierdzenia, że ten człowiek nie odgrywał istotnej roli w antykomunistycznym podziemiu, czy później, kiedy stanęła kwestia przekazania w Polsce władzy.
0;Ale przez to tworzysz wrażenie, że pewna problematyka pojawiła się dopiero wraz z komunizmem.
0;W parę tygodni po przybyciu kmdr. Hanrahana wpłynął do portu lekki krążownik amerykański.
1;Rzecznik dyscypliny odmawia wszczęcia postępowania wyjaśniającego, jeżeli stwierdzi wystąpienie okoliczności wymienionej w art. 78 ust. 1.
0;Czternaście osób zatruło się pałeczkami salmonellozy, poczas wesela, które odbyło się w miniony weekend w Puławach.
0;Stefan i Claudia zostali sfotografowani na lotnisku w Hamburgu, skąd udali się na wspólny urlop do Tajlandii.
0;W zbiorach Muzeum Oręża Polskiego w Kołobrzegu znajduje się szabla krechowiacka, kompletna z pochwą, której francuska głownia wyprodukowana w 1842 r. pochodzi ze sławnej manufaktury w Chatellerault.
0;Akcja mitu toczy się w przeszłości całkowicie już oderwanej od związków z teraźniejszością, zupełnie odległej i odciętej od współczesności
1;Ten ostatni, jako prawnik, gwarantować miał, że wszystko odbędzie się zgodnie z prawem.
0;Środki na prefinansowanie udostępniane są w formie oprocentowanych pożyczek, z zastrzeżeniem ust. 5.
0;Nie narusza obowiązku zachowania tajemnicy zawodowej złożenie zawiadomienia o podejrzeniu popełnienia przestępstwa oraz udzielanie informacji w przypadkach określonych w ustawach.
0;Zmiana płci jest łatwiejsza, niż dotychczas sądzono.
0;Mleczarnia zapewnia, że w zakwestionowanym mleku nie wykryto jakichkolwiek bakterii, które mogłyby powodować zatrucie.
0;Zbocza góry stały się lodowiskiem, po którym nie sposób się było wdrapać do zamku.
1;Jeszcze jedna wychowawczyni była w czasie jakichś tam zaocznych studiów biologii.
0;Zespół do spraw poprawy ochrony zabytków sakralnych, w których gromadzone są dobra narodowe, powstaje w Kielcach.
0;Pewien czteroletni chłopiec wypadł z jedenastego piętra wieżowca w amerykańskim mieście Albany w stanie Nowy Jork na betonowy chodnik i przeżył.
1;Pożegnali się pośpiesznie, bo pociąg, chory na sapiącą astmę, wtoczył się zziajany na małą stacyjkę, obok której w ogródku kwitło kilka czerwonych kwiatków, a przed nią zakwitł zawiadowca w czerwonej czapce.
0;Szybsze topnienie brzegów lodowca kompensowane jest przez zwiększone opady w środku kontynentu.
