type;source_sentence
0;Relacjonując to memu bratu, opuszczam różne własne domniemania, czy ów motyw jazdy na trasie z Bordeaux do Paryża, powtarzający się wiecznie w szczególikach, nie jest aby metaforycznym odpowiednikiem pewnych istotnych zdarzeń na jawie.
1;Detektyw pracował dla aresztowanego barona paliwowego ze Śląska, Henryka M. (51 l.).
0;Byłem pewien, że pod kołami znajdę rozszarpane ciało - wzdryga się człowiek kierujący towarowym składem złożonym z trzech lokomotyw i trzydziestu pięciu załadowanych do pełna węglem wagonów, które przetoczyły się nad panem Stanisławem.
0;Udało się wprawdzie zamknąć dopływ gazy do budynku, jednak nie ustalili źródła wycieku.
0;W ubiegłym roku wprowadził on zakaz sprzedawania prezerwatyw, ale musiał się z tego wycofać, gdyż władze zwierzchnie uznały to posunięcie za sprzeczne z konstytucją.
0;Wygrajmy także także tą batalię o wpływ na kształt życia społecznego.
0;Przestrzeganie zasad dobrego udoju ma niewątpliwy wpływ na jakość pozyskanego przez rolnika surowca, a co za tym idzie na cenę, jaką producent mleka może za swój produkt uzyskać.
0;Największy szkodliwy wpływ może mieć niewłaściwe układanie i zagęszczanie.
0;W stosunku do dekady poprzedniej najbardziej, bo o 2,6 proc. obniżyły się ceny ziemniaków, warzyw, owoców i ich przetworów.
0;Obiektyw wsadził w szparę, rozchyloną jakby na ostatnie westchnienie.
0;"Mam do sprzedania mało używany następujący sprzęt fotograficzny: aparat Zenit 122 z obiektywem MC HELIOS; 44m -7 (na gwarancji); obiektyw szerokokątny MC MNP - 20M; lampę błyskową SAKAR 77 AZ (liczba przewodnia 32, głowica w pełni obracalna, półautomat, na gwarancji)."
0;To dlatego ostatnia sejmowa rozgrywka zamieniła się w jego porażkę - pisze Wiesław S. Dębski.
0;Aktyw lewicowy zdołał przeprowadzić olbrzymią większość masy partyjnej na pozycję marksizmu-leninizmu i mimo wszystkie pomyłki masowa, półmilionowa partia robotnicza oczyszczając się z błędów i klasowo obcych naleciałości, staje dziś obok PPR jako współtwórczyni Polskiej Zjednoczonej Partii Robotniczej.
0;"Stanie się to chyba z końcem 1961 roku - odpowiedział amerykański tygodnik ""Newsweek"" w noworocznej ankiecie na temat perspektyw dziesięciolecia 1960-1970."
1;Jak detektyw popatrzmy, co mówi o tym horoskop.
0;"Mam do sprzedania prezentacje maturalną ""Motyw winy i katy w literaturze różnych epok""."
0;Stąd ciągły napływ obcego kapitału na nasz rynek.
0;Czy jakiś wpływ ma na to system kastowy?
1;Niestety, słynny detektyw z fajką w zębach odszedł przedwcześnie i nie zdążył wyjaśnić, kim był Bolek.
1;Pierwszą rzeczą, którą detektyw robi po uzyskaniu od klientki danych męża oraz danych podejrzanych o sypianie z nim kobiet, jest wejście na portal nasza-klasa.pl.
1;Siedzimy w ogrodzie: Varisella, jego przyjaciel i wspólnik Rafał R., prywatny detektyw i ja.
