type;source_sentence
1;Potem stał się elementem symboliki chrześcijańskiej charakterystycznej dla Wielkanocy - wyjaśnia Elżbieta Kaczmarek (57 l.), etnograf z Muzeum Warmii i Mazur w Olsztynie. 
0;Także w Szpitalu Powiatowym funkcjonuje mammograf, na którym można dokonywać regularnych badań piersi. Raz w miesiącu w budynku Urzędu Miejskiego przy ulicy Parkowej pełni swoje dyżury pielęgniarka, która prowadzi szkolenia dla kobiet w zakresie samokontroli piersi.
0;Czy nie zdawał sobie sprawy, że po erze telegrafu przychodzi zwykle czas na telegraf bez drutu?
0;Tak że nie, nie ma z petentami nic wspólnego, tylko tam wiesz odpowiedni paragraf dostosowuje do odpowiedniego wniosku.
1;Dariusz Karłowicz, filozof, dostał fuchę w kaczej telewizji (patrz Marek A. Cichocki).
0;Jego nazwa dobrze jest znana poznańskim kobietom - mammograf.
0;Pozostała jedna szansa na autograf.
1;Badania polskiej sztuki ludowej prowadziła na jesieni 1959 r. angielska etnografka Pearl Binder.
1;Po chwili przyjechał fotograf i wszystko stało się jasne.
1;W maju i październiku 2-osobowa grupa (w tym etnograf) przeprowadziła 5-dniowe badania terenowe w Rudawie, Brzezince i Radwanowicach w pow. Chrzanów.
1;Czy filozof jest jeszcze potrzebny gdy wiedza wyprzedza filozofię?
1;Stary stenograf najpierw westchnął, a potem rozpostarł ręce, wyciągnął je ku niebu i krzyknął.
0;Ty masz jeszcze na ten tomograf głowy.
1;Przedwojenny etnograf, Roman Reinfuss twierdzi, że nazwa ta, która w nauce ma charakter pojęcia etnograficznego, w poczuciu ludu ma zabarwienie polityczne.
0;Tomograf komputerowy pozwala znaleźć chorą tkankę.
1;Pewnego dnia fotograf odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.
0;Bo ja składałam zamówienie na oficjalnej stronie, wysłałam niedawno list do brata Dody, ale mam jeszcze prywatny adres jej rodziców, ale tam mi głupio pisać. I dlatego jestem ciekawa skąd Ty masz, bo chciałabym wiedzieć czy mam co liczyć na jej graf. A nie ukrywam, że mi bardzo zalezy na jej podpisie ^^ O mój Boże!
0;Mi Sławek Borowiecki napisał na nk, że wyśle mi autograf przez e-maila!
0;Dostałem niedawno autograf od Matta Le Blanc (ze studiofanmail).
0;A tak poza tym, Tobie nie kończą się jeszcze wakacje, bo jakoś tak dziwnie napisałaś... Ja jestem na studiach i mam jeszcze miesiąc wolnego No do mnie przyszedł Wieleba, Płoszajski i Video (pisałam już wcześniej). W sumie to i tak teraz są wakacje i pewnie gwiazdy mają urlop. Hymmm... Chociaż prawdę mówiąc już połowa sierpnia nie długo i powinni wracać do roboty Ale próbować warto. Życzę powodzenia. Do Wenta miałam adres z jego oficialnej, polskiej strony. Moja kolezanka dostała o niego (niestety po około roku) orginalny autograf. Ja lubię Natalię, dlatego zapytałam czy jest możliwość otrzymania singla. Singla nie dostałam, tylko płytę i DVD. Dostałam, bo naprawdę lubię Natalię, a nie tylko dlatego, ze rzucam się na wszystko co wysyłają, bo za darmo
1;Czy zatem sytuacja dwóch najludniejszych krajów, gdzie mieszka więcej niż jedna trzecia ludzkości, dowodzi, że XIX-wieczny demograf Tomasz Malthus miał rację?
0;W jednej kieszeni Pismo Św., w drugiej granaty – i ryngraf na kamizelce kuloodpornej.
