,Unnamed: 0,sentence
294,294,"- Zając już w czasach pogańskich uważany był za symbol płodności i zmartwychwstania. Oddawano mu hołd w czasie obrzędów ku czci Bogini Wiosny. Potem stał się elementem symboliki chrześcijańskiej charakterystycznej dla Wielkanocy - wyjaśnia Elżbieta Kaczmarek (57 l.), etnograf z Muzeum Warmii i Mazur w Olsztynie. Pierwsi pojawili się tam pseudokibice Śląska, prawie 25 osób. Około setki fanów Zagłębia dojechało dwoma autokarami. Ustawka po kilku minutach została przerwana przez przejeżdżający tamtędy patrol policyjny. - Policjanci wezwali posiłki i sami zaczęli wyłapywać uczestników bójki - opowiada Krzysztof Zaporowski z dolnośląskiej policji. - Nikt poważnie nie ucierpiał, 28 osób trafiło do aresztu - dodaje. - Mój syn Adaś wczoraj skończył 10 miesięcy, a ja go widziałam tylko raz, zaraz po urodzeniu - szepcze przez łzy Beata Gronowska z Olsztyna. - Wczoraj od redakcji ""Super Expressu"" pani Beata dostała zdjęcie swojego syna. Jest to jedyne zdjęcie Adasia, jakie ma jego rodzina. - Z miłych ludzi zmienili się w potwory!"
928,928,"- Zabezpieczenie śladów na miejscu zdarzenia jest ważne, ale przede wszystkim rolą policjanta jest złapanie złodzieja. Dlatego jeśli dostajemy zgłoszenie, że w mieszkaniu są włamywacze, na miejsce powinny zostać wysłane przynajmniej dwa radiowozy. Wtedy jedna policyjna grupa będzie wchodzić do mieszkania, a druga zabezpieczać drogę ucieczki złodziei, czyli obstawiać np. balkon lub strych. Nowi przewoźnicy jeżdżący w gminie Krzeszowice lub ci, którzy wprowadzili zmiany w rozkładzie jazdy, płacić będą 20 gr za 100 wozokilometrów, ale nie mniej niż 400 zł rocznie do gminnej kasy. Taką opłatę uchwaliła Rada Miejska, w której gestii od tego roku jest koordynowanie rozkładów jazdy (przedtem zajmował się tym Urząd Wojewódzki Marszałkowski Województwa Małopolskiego). (ETYZA) Dzięki inicjatywom dębickiego stowarzyszenia ""Europa Donna - Dębica"" przeprowadzono kilkaset badań mammograficznych dla mieszkanek powiatu dębickiego. Także w Szpitalu Powiatowym funkcjonuje mammograf, na którym można dokonywać regularnych badań piersi. Raz w miesiącu w budynku Urzędu Miejskiego przy ulicy Parkowej pełni swoje dyżury pielęgniarka, która prowadzi szkolenia dla kobiet w zakresie samokontroli piersi."
2073,2073,"Wieżą Boga - odizolowanie się od świata we własnym domu. W położeniu odwróconym: kaprysy, potrzeba opieki ze strony bliskich, żerowanie na rodzinie, brak kontaktów z niektórymi członkami rodziny, ignorowanie potrzeb domowników, niechęć do własnego domu, ucieczka z domu, stawianie interesów obcych ponad dobro krewnych. Kochankami - podkreślanie zamożności w domu i rodzinie. W położeniu odwróconym: nadmierne używanie bogactwa, życie w luksusie, chciwość, skąpstwo, otaczanie się wpływowymi lub majętnymi ludźmi, zaborczość, gromadzenie bogactw jako główny cel życia, wykorzystywanie innych, skrajny materializm, przeliczanie wszystkiego na pieniądze. Głos nikł i stawał się coraz cichszy. Za to tuż obok siebie usłyszałam inny głos i ten drugi, choć fizycznie bliższy, wydał mi się całkiem nierealny, jakby z tandetnego filmu: - Bałem się, że już ją straciliśmy, ale praca serca normuje się. Podłączcie kroplówkę z solą fizjologiczną i elektrolitami i do rana niech ktoś przy niej czuwa, boję się, że może jeszcze się coś stać. Sądem Bożym - rodzina ograniczała rozwój intelektualny. W położeniu odwróconym: bardzo poważne ograniczenia w sferze intelektualnej, analfabetyzm, wrodzone wady rozwojowe ograniczające możliwości uczenia się, niechęć do nauki, nieumiejętność praktycznego zastosowania posiadanej wiedzy, chęć przewodzenia innym bez racjonalnych podstaw do tego. Diabłem - wstręt do miłości fizycznej, niemoc seksualna. W położeniu odwróconym: zawiść i zazdrość o sprawy materialne, dążenie do zysków materialnych przyczyną rozpadu rodziny, skrajne skąpstwo, głodzenie członków rodziny, czerpanie zysków z nierządu, zmuszanie dzieci do żebractwa, kradzieży lub prostytucji. W położeniu prostym: mediator, rozjemca, negocjator, dyplomata, polityk, plastyk, malarz, tancerz, kosmetyczka, fryzjer, balwierz, krawiec, modelka, pośrednik matrymonialny, swatka, sędzia, prokurator, dyrektor teatru, dekorator wnętrz, scenograf, prozaik, recenzent teatralny lub literacki, marszand, właściciel galerii, mecenas sztuki, osoba o dużym takcie i poczuciu piękna. Księżycem - brak kontaktu z realnym życiem. W położeniu odwróconym: brak tolerancji, rasizm, wywyższanie się nad innych z powodu pochodzenia lub koloru skóry, działania pod przymusem, przesadna dyscyplina, skrajna asceza lub rozpasanie, nieumiejętność znalezienia złotego środka w działaniach, problemy emocjonalne, brak współczucia dla innych i siebie. Koło Samsary (Sanskary) - łańcuch wydarzeń przyczynowo-skutkowych, w którym tkwimy na skutek zaciągniętych i zaciąganych negatywnych zobowiązań karmicznych, cykl nieustannych narodzin i śmierci. Małe Arkana - 56 kart zgrupowanych w czterech kolorach, w każdym po czternaście kart. Obiekt wróżby - osoba pytająca, ktoś na kogo rozkładamy karty. W położeniu odwróconym: osoba chora psychicznie, o niezrównoważonej osobowości, a także rozchwianych emocjach, bardzo trudna w kontaktach, nerwowa, wymagająca stałej opieki oraz poświęcenia ze strony rodziny i znajomych, brak własnej woli, podatność na wpływy, chwiejny charakter, neurastenia, schizofrenia, depresje, zaburzenia osobowości, skłonności autodestrukcyjne, wskazuje na konieczność pracy nad własnym charakterem, umacniania woli i bardziej świadomego kształtowania swego życia, należy też odpracować długi karmiczne w relacjach z bliskimi. W położeniu prostym: wskazuje na konieczność przepracowania zagadnień związanych z uczuciami, sprawami partnerskimi, emocjami i prawidłowymi kontaktami z ludźmi, sugeruje problemy z okazywaniem uczuć i wszelkiego rodzaju ekspresją emocjonalną, w tym także artystyczną, osoba, u której w analizowanym wcieleniu występowała dysharmonia emocjonalna. 1) karma czarna - nabywana w trakcie życia pełnego niegodziwości i haniebnych czynów. Dzieli się ona na zewnętrzną, uwarunkowaną negatywnym traktowaniem innych osób - obrażania ich, upokarzania itp. oraz wewnętrzną (mentalną), zdeterminowaną negatywnymi stanami własnej duszy: zawiścią, niewiarą, cynizmem itd. 2) karma biała - kształtuje się w wyniku określonego stanu świadomości - szlachetności i dobroci, które to nastawienie cenione jest nawet wyżej od określonych czynów. Księżycem - życie w świecie iluzji i marzeń. W położeniu odwróconym: życie ponad stan, dochody uzyskiwane z podejrzanych źródeł, ciągłe szukanie pomocy u innych, wykorzystywanie ludzi, uwikłanie się w sytuacje bez wyjścia, przyjmowanie lub dawanie łapówek, negowanie lub ignorowanie duchowej strony życia. Światem - odkrywca i badacz nieznanych ziem. W położeniu odwróconym: łapówkarz, przekupny sędzia, oszust, sprzedajny polityk, człowiek bez wykształcenia, ateista, marksista, konkwistador, przywódca sekty, rzeźnik, nieuczciwy urzędnik, koniokrad, komiwojażer, osoba, która nieuczciwie doszła do majątku. Problemy zdrowotne z wątrobą, paraliż, reumatyzm, ischias. Światem - podchodzenie do wszystkiego wyłącznie w sposób intelektualny. W położeniu odwróconym: wprowadzanie ciągłych zmian i korekt, chaotyczność myślenia, gonitwa myślowa, wprowadzanie w istniejącą sytuację zmian bez wyraźnej potrzeby, marazm, myślenie schematyczne, uporczywe trwanie przy starych poglądach, rutynowy tok myślenia. Są takie momenty w życiu, sądzę, że w mniejszym lub większym stopniu doświadczył ich każdy, kiedy w chwili przebłysku dostrzegamy z wyjątkową wyrazistością sens tego wszystkiego, co robiliśmy, czuliśmy i doświadczaliśmy oraz uświadomienie sobie tego, że wszystkie rzeczy i osoby są na swoim miejscu, a wydarzenia toczą się tak, jak powinny. Dążenie do oświecenia, to dążenie do takiego właśnie stanu, ale przeżywanego permanentnie, przez cały czas. Śmiercią - praca wykonywana pod ziemią. W położeniu odwróconym: dywersant, wynalazca lub producent materiałów wybuchowych, konstruktor skrytek i tajnych przejść, osoba, która torturowała innych, twórca narzędzi do tortur, nadzorca w kopalni złota lub kamieni szlachetnych. Problemy zdrowotne z kręgosłupem, układem kostnym i zębami, reumatyzm, problemy skórne. Słońcem - prawidłowe wykorzystanie posiadanych możliwości intelektualnych. W położeniu odwróconym: przekonanie o własnej nieomylności intelektualnej, brak odwagi do głoszenia własnych poglądów, niechęć do solidnej pracy, pobieżność w ocenie sytuacji, brak taktu i dyplomacji, nieumiejętność przestrzegania obowiązujących norm społecznych, zaciąganie zobowiązań karmicznych w sferze intelektualnej. - Czy pani wie, gdzie jest?"
2506,2506,"Czy nie zdawał sobie sprawy, że po erze telegrafu przychodzi zwykle czas na telegraf bez drutu?"
2832,2832,minie ten okres tam pół roku czy rok. ani świadczeń nie ma z opieki społecznej ani ni ma nic nic tam.. – koło piętnastu bydzie mioł.. – pracuje przy odwołaniach. tak że nie nie ma z petentami nic wspólnego tylko tam wiesz odpowiedni paragraf dostosowuje do odpowiedniego wniosku.. – i dali. trzeba zapamiętać to ważna ważna ważna sprawa.. – taki sympatyczny facet.. – yhm.. – z Waldkiem chodził do klasy. Waldek też metalówkę kończył.. – a Waldka nie widziałem dawno.. – ale w którym którym roku?
3033,3033,"Dla uprawdopodobnienia swych zamiarów kołyszą wozem rytmicznie. Przybywają dwa dodatkowe radiowozy. Siły i środki są teraz wystarczające do wydobycia małżeństwa spod auta. Są też Buzkowcy, którzy zamiast trzymać się starych tekstów Urbana mają własne pomysły, pragną mnie przelicytować i wtedy już jest zupełne nieszczęście. Wojewoda pomorski w Radiu Gdańsk oznajmił, że policja musiała użyć siły wobec demonstrantów, ponieważ ci ludzie z pełną świadomością chcieli zabijać. (Za ""Rzeczpospolitą"" z 27 stycznia.) Rada m.st. Warszawy (oprócz Golimonta) daje wyraz swojej naiwności. Trzeba naprawdę być kompletnie oderwaną od rzeczywistości blondynką, żeby wierzyć, że uchwalając podobne dokumenty uda się wejść Kościołowi kat. w dupę na trzy miesiące przed wyborami samorządowymi. Ten raptowny wzwód wstrętu wobec agencji towarzyskich uważamy za szczyt obłudy i hipokryzji stołecznych radnych. Oczywiście prezesowi zawsze towarzyszył dwór, w którym uwagę zwracały długonogie asystentki. Później w grafomańskich notatkach, rozsyłanych do podległych jednostek e-mailem, opisywał to wszystko doradca - filozof Mateusz Wierzbicki. Tę literaturę również licznie cytowaliśmy w ""NIE"", ku uciesze znudzonych na stanicach celników. Powołanie Semaka wzburzyło pracowników opolskiej rozgłośni. Z „NIE” skontaktowali się nawet członkowie opolskiego PiS i „Solidarności”. Za co tak Semaka nie lubią partyjni towarzysze?"
3050,3050,"Nie wiadomo. Pojąć nie mogę, dlaczego Ziobro zdecydował się odczytać przed kamerami fragmenty poufnego dokumentu. Mógł je legalnie i zgodnie z prawem cytować, gdyby tylko przestrzegał procedury. Wystarczyło wystąpić do całej komisji z wnioskiem o utajnienie tej części posiedzenia, podczas której chciał przeczytać świadkowi o tym, co Aleksander Kwaśniewski powiedział w prokuraturze. Albo komisja mogła wystąpić do gospodarza śledztwa, czyli do prokuratora apelacyjnego, o zdjęcie klauzuli poufności. ""Wyborcza"" ogłosiła, że jest to najlepszy dowód, iż ""przecieków nie było"". Prokuratura Okręgowa w Krakowie, która prowadzi śledztwo w sprawie wycieku testów w 2000 r., potwierdziła, że sprzedawano testy w cenach od kilkuset złotych do 15 tysięcy. Na razie nikomu nie przedstawiono zarzutów. Por. Bolesław Hozakowski, powstaniec warszawski, pseudonim Mietek, wszedł w skład prezydenckiej Rady ds. Kombatantów. Pieniędzy za to nie ma, lecz zaszczyt bywania w pałacu – owszem. Dariusz Karłowicz, filozof, dostał fuchę w kaczej telewizji (patrz Marek A. Cichocki). Bogusława Kiernickiego, współzałożyciela ZChN, rzucono do Polskiego Radia. Został wiceszefem jego rady nadzorczej i członkiem zarządu, jednym z głównych graczy w walce o władzę nad firmą. Już sam fakt zawierania przez państwo szczególnej umowy ze zwierzchnictwem jednej z organizacji wyznaniowych narusza zasadę światopoglądowej neutralności państwa oraz zasadę równości obywateli bez względu na ich przekonania. W polskich warunkach, w których aspiracje polityczne hierarchii Kościoła katolickiego są tak jawne i wygórowane, groziłoby to szybkim regresem demokracji. Ewentualna ratyfikacja Konkordatu przed przyjęciem nowej konstytucji zaważyłaby zapewne na jej ostatecznym brzmieniu, odbierając Konstytucji RP charakter nowoczesnej ustawy zasadniczej demokratycznego państwa. Statewatch oddzielną część raportu poświęca sytuacji we Włoszech – to tutaj europejska policja umiejscawia największe zagrożenie ""lewackim terroryzmem"". O ile w sprawie ataku na bazylikę św. Ambrożego w Mediolanie cały czas toczy się śledztwo, o tyle w sprawie ładunku, który eksplodował w Wenecji przed Pałacem Sprawiedliwości po szczycie G-8, zatrzymano 26-letniego działacza radykalnej prawicy – Cristiana Rifani. Drugi z podejrzanych także związany jest z radykalną prawicą. Dwie chluby polskiej żurnalistyki, pp. Kublik i Olejnik przesłuchujące w ""Gazecie Wyborczej"" nr 162 z 13–14 lipca 2002 r. ministra Krzysztofa Janika, domniemanego następcę Leszka Millera, na zakończenie postawiły przed nim wysoce intelektualny dylemat. Zapytały mianowicie, kogo woli: Leppera, który lży SLD od złodziei, czy Moczulskiego, który b. PZPR-owców (Janika też) zwymyślał od ""płatnych zdrajców, pachołków Rosji""?"
4142,4142,"Bruno, krewniak cesarski - Grzegorz V - wypędzony przez Krescencjusza. Krescencjusz młodszy, wódz Rzymu, wiekuisty spiskowiec przeciwko władzy Niemców nad Italią, poszukiwacz na całym świecie, aż do obozowisk polskiego Bolesława Chrobrego, wrogów swego wroga, niemieckiego cesarza - straszliwie przez Tammona skrwawiony. Trup jego kołysany wiatrem tam właśnie, w sercu Rzymu. Obodryci w długich, w ciągu stulecia toczonych zmaganiach z Sasami, zaprawieni do krwawej wyprawy, idą przeciwko niemieckiemu Ludwikowi, napadają na Hamburg, ażeby ujście Łaby ogarnąć. Walecznie bronią się przeciwko zamachowi saskiego grafa Ottona, stróża nad Łabą, przekraczają tę rzekę, wpadają do Turyngii i straszliwie ją niszczą. Dwa tysiące poległych trzeba było w ziemię zakopać. Na polach Domatowa i Polchowa usypano wysokie mogiły. Sześciuset poszło w niewolę, wzięto dział piętnaście, dwieście wozów dobrem naładowanych wszelakim. Rozbiegli się Kaszubi, pod przymusem do tej walki pędzeni. Od checzy do checzy, od dworu do dworu, od zamku do zamku szli borami, drożynami, ścieżkami, radosną wieść roznosząc, iż porażony jest Zakon. Idą nań w odwet - graf Gero i graf Herman - aż do Głogowa. Z murów Głogowa patrzy polski wojennik na Niemce, jak ich pluta zalewa, niszczą choroby, mór dziesiątkuje. Z murów Głogowa patrzy ze śmiechem, jak z jego ziemi bez boju uchodzą. Po trzecie cesarz zgromadzi Niemce, Czechy, Bawary, Lutyki, podszczuje dalekie kijowskie Waragi - i sam na czele szyków wyruszy. Zamiast podniety do skupienia w sobie potęgi, mocy, zamiast rozpalania w nim greckiej ambicji i rzymskiej pasji, zaszczepiać mu cnoty mądrości, sprawiedliwości, męstwa i wstrzemięźliwości, cztery kwiaty duszy zakonnika?"
4297,4297,"Od wczoraj, tym razem w ośrodku przy Kazimierza Wielkiego pracuje kolejny bardzo nowoczesny aparat. Jego nazwa dobrze jest znana poznańskim kobietom - mammograf. Jednak ten zakup to już ""wyższa szkoła jazdy"" - z komputerem systemu analizy warunków pracy. Oznacza to, że aparat sam dobiera odpowiednią dawkę promieniowania indywidualnie do każdej piersi."
4594,4594,"Zapanowała cisza, przede wszystkim ze zdumienia, że sędzia mógł znać imię skromnej krawcowej Sary Grünspan mieszkającej na Legionów przy Cmentarnej. Nie trzeba było długo czekać, aby znalazł się jakiś zuch, który pomyślał, że cud może dotyczyć także jego. Był pierwszy, bo kilku innych także otwierało usta. Już nie patrząc na niego, sięgnęła do gumy majtek. Najpierw zobaczył pępek wielki niczym krater, tak wiele obiecujący, że chciałby zsunąć się w jego czeluść i ogrzać w jego cieple. Za chwilę jednak opadający jedwab odsłonił krzak gorejący, przy którym kędziory pach wydały się kępkami mchu zaledwie. Patrzył w niego w zachwyceniu, a potem przestał widzieć cokolwiek, bo zemdlał. Wszyscy się obejrzeli, bo kobieta siedziała w ostatnim rzędzie. Teraz wstała, podpierając się kulą. Mogły być w tym samym wieku, jednak Regina nie dostrzegła w niej najmniejszych śladów urody czy choćby wdzięku. Jedyne, czego nie można jej było odmówić, to poczciwość twarzy. Nie mogłem tego słuchać. Kompromitowali nie tylko siebie, ale i Polskę. I brał w tym udział funkcjonariusz państwowy. Choć majakiem byli, może nawet nieuleczalnym, zapragnąłem wyciągnąć szablę. Przed oczyma stanął mi obraz z domu dziadka Antoniego, przedstawiający księcia Józefa z dumną miną rzucającego się w nurty Elstery. Zrobiłem krok do przodu i pociągnąłem Dorę za sobą. Mężczyzna z sumiastymi wąsami nazwany kawalerem wyraźnie się speszył. Długo szukał po kieszeniach, lecz wyjął z nich tylko zapałki. Pozostała jedna szansa na autograf. Marek skłonił się i wskazał dwie kobiety siedzące na korytarzu, a doktor pokiwał głową ze zrozumieniem. Pani o rudych włosach była bardzo mądra: kiedy dobiegał, już z pudełeczka wyłożonego ciemnozielonym aksamitem wyciągała pióro. Podała mu je otwarte i gotowe do pisania. Widziała, że mówiąc to, jakby specjalnie zwracał się do Chai Buber z ławy przysięgłych, która przed wojną miała stragan na Wolborskiej i nie znała nie tylko tych, ale i wielu prostszych słów. Regina nie uznała tego za eleganckie ani tym bardziej śmieszne. Tego już było za wiele nawet na malignę czy podwojony atak natręctw. Pierwsze, co pomyślałem, to czy Jurek na korytarzu zorientuje się, kto wchodzi. Zawsze powtarzał, że od dziecka chciał ją poznać. Szukał kobiet potężnych w każdej kategorii, także w sferze ducha. Na sali nie nastąpiło poruszenie, czemu trudno się dziwić, a ja obrażony bezczelnością swojej choroby wyszedłem, aby wreszcie stanowić o sobie. Powoli wszedł na piętro. Wszystkie drzwi były tu białe, a spod łuszczącej się farby prześwitywał mahoń. Wreszcie znalazł zielone, o których mówił sędzia, także pomalowane niedokładnie. Złapał za klamkę. Gdyby go spytano, dlaczego jej nie nacisnął, miałby trudności z odpowiedzią. Może zniechęciły go słowa sędziego o niemożliwości ucieczki, a może tylko chciał dalej słuchać, co mówią dorośli. W każdym razie zawrócił bez pośpiechu. Regina znała Wolickiego z widzenia, ale nawet jej przez myśl nie przeszło, że okaże się taki głupi. A przecież Chaim kazał mu dać kieliszek wódki, kiedy przyszedł w dzień po ich ślubie wstawić szybę w okno, bo było jej zimno. Na szczęście fruwające popielniczki, wpadające potem w te same otwory w narożnikach stołu, zrobiły odpowiednie wrażenie, bo Chaim spuścił z tonu, co poznała po nisko opuszczonej głowie. Poczuła, że ktoś ją głaszcze po ręce, i zobaczyła Marka, który być może chciał w ten sposób dodać jej otuchy. Nie nakrzyczała więc na niego, że się oddalił bez pozwolenia. Jak zwykle, kiedy wpadał w falset, uderzał laską o podłogę. Tym razem jednak robił to tak mocno, że pod stopami poczuła drżenie. Pamiętała, że na dźwięk tego przeraźliwego głosu ludzie chętnie schowaliby się pod ziemię, ale teraz ku swojemu zdziwieniu usłyszała na sali śmiech, i to wcale nie tłumiony. Sędzia także to zauważył. Wreszcie szelesty pięknie go uśpiły i jakby na zawołanie przyśniło mu się zakole rzeki Rudki, gdzie był z rodzicami na wakacjach. Słońce, ciepły piasek i piegowate plecy Moniki Nonas, córki sąsiadów, sprawiły, że przyjął pocałunek w policzek jako rzecz przynależną ciepłu i słońcu. Tym bardziej nie mogło go obudzić ciche skrzypnięcie drzwi. Prokurator był tak pewny swego, że kiedy usiadł, wyciągnął z kieszeni pilnik do paznokci i zaczął się nim bawić. Uznała to za niedopuszczalne i była ciekawa, czy sędzia to widzi. Jeśli nawet widział, to nie zwrócił prokuratorowi uwagi. Bornstein trzymał się za głowę, lecz zanim otworzył usta, przechadzał się chwilę między ludźmi, starając się zajrzeć w oczy najbliżej siedzącym. W książce wykorzystano fragmenty Dziennika Sándora Máraiego w przekładzie Teresy Worowskiej (Warszawa 2004) oraz książki Żydzi i Niemcy Gershoma Sholema w przekładzie Marzeny Zawanowskiej i Adama Lipszyca (Sejny 2006). Cytaty z dramatów Williama Shakespeara w przekładzie Józefa Paszkowskiego i Leona Ulricha na podstawie Dzieł dramatycznych (Warszawa 1973), w opracowaniu autora. Wyszli na taras, po muzykach został tylko futerał na skrzypce, co znaczyłoby, że wyjeżdżali w pośpiechu. Gdyby nie to, że tym razem dostojny starzec dźwigał walizki, wszystko wyglądałoby tak samo jak podczas przyjazdu. Nawet wiatr zdawał się ten sam, bo podobnie wirowały w powietrzu resztki bawełny, a kartki z porzuconych kwitariuszy magazynowych wcale nie odfrunęły daleko. Dałbym głowę, że wspominając dzieciństwo, zachlipał żałośnie, i tego już było za dużo. Przyjrzałem mu się uważnie. Buty miał stare, ale od Johna Lobba z St. James Street, do tego starannie wyczyszczone. Dobre zęby i zadbane dłonie. Oszukiwał więc, a garnitur magistrackiego urzędnika, ohydny krawat, a przede wszystkim słowa były przebraniem. Jednak po co zadawał sobie tyle trudu?"
