,type,source_sentence,target_sentence,generated_text,score,lev
3,1,"Dzieło nie jest dokończone, ale twarz, głowę, ramiona mistrz zdążył już oddać w szczegółach.","Dzieło nie jest dokończone, ale twarz, głowę, ramiona osoba mistrzowska zdążyła już oddać w szczegółach.","Dzieło nie jest dokończone, ale twarz, głowę, ramiona osoba mistrzowska zdążyła już oddać w szczegółach.",1,0.0
4,1,"Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, socjolog.","Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, osoba socjologiczna.","Punkowcy zamanifestowali, że nie tylko osoby motocyklistyczne mają prawo do takich skór - tłumacze Mirosław Pęczak, osoba socjologiczna.",1,0.09558823529411764
5,1,Parlamentarzysta nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.,Osoba parlamentarzystyczna nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.,Osoba parlamentarska nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.,1,0.0374331550802139
7,1,"Ale kiedy przewrócili Firstwooda na ziemię i trzymali z wykręconymi rękami, a jeden z kelnerów wrócił do restauracji, by zadzwonić po gliny, musiała działać.","Ale kiedy przewrócili Firstwooda na ziemię i trzymali z wykręconymi rękami, a jedna z osób kelnerskich wróciła do restauracji, by zadzwonić po gliny, musiała działać.","Ale kiedy przewrócili Firstwooda na ziemię i trzymali z wykręconymi rękami, a jedna z osób kelnerskich wróciła do restauracji, by zadzwonić po gliny, musiała działać.",1,0.0
11,1,Nowelizacja dokonuje następujących zmian w ustawie o wyborze Prezydenta Rzeczypospolitej Polskiej.,Nowelizacja dokonuje następujących zmian w ustawie o wyborze Osoby Prezydenckiej Rzeczypospolitej Polskiej.,Nowelizacja dokonuje następujących zmian w ustawie o wyborze Osoby Prezydenckiej Rzeczypospolitej Polskiej.,1,0.0
12,1,"A organizatorzy starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowali nawet widzów grochówką.","A osoby organizatorskie starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowały nawet widzów grochówką.","A osoby organizatorskie starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowali nawet widzów grochówką.",1,0.017094017094017096
13,1,Rodzinom tym przyznawane są mieszkania z puli prezydenta miasta oraz środki pieniężne na zagospodarowanie i utrzymanie.,Rodzinom tym przyznawane są mieszkania z puli osoby prezydenckiej miasta oraz środki pieniężne na zagospodarowanie i utrzymanie.,Rodzinom tym przyznawane są mieszkania z puli osoby prezydenckiej miasta oraz środki pieniężne na zagospodarowanie i utrzymanie.,1,0.0
15,1,"Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko sprzątaczka.","Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko osoba sprzątająca.","Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko sprzątaczka.",0,0.0891089108910891
18,1,Zeszyty dostał od nauczycielki za sprzątanie lasu.,Zeszyty dostał od osoby nauczycielskiej za sprzątanie lasu.,Zeszyty dostał od osoby nauczycielskiej za sprzątanie lasu.,1,0.0
19,1,Otchłanie antyku reprezentowała wówczas surowa sprawiedliwość Kreona poskramiającego zbuntowaną przeciw władzy państwowej anarchistkę.,Otchłanie antyku reprezentowała wówczas surowa sprawiedliwość Kreona poskramiającego zbuntowaną przeciw władzy państwowej osobę anarchistyczną.,Otchłanie antyku reprezentowała wówczas surowa sprawiedliwość Kreona poskramiającego zbuntowaną przeciw władzy państwowej osobę anarchistyczną.,1,0.0
