,type,source_sentence,target_sentence,generated_text,score,lev
4,1,"Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, socjolog.","Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, osoba socjologiczna.","Punkowcy zamanifestowali, że nie tylko osoby motocyklistyczne mają prawo do takich skór - tłumacze Mirosław Pęczak, osoba socjologiczna.",1,0.09558823529411764
5,1,Parlamentarzysta nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.,Osoba parlamentarzystyczna nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.,Osoba parlamentarska nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.,1,0.0374331550802139
12,1,"A organizatorzy starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowali nawet widzów grochówką.","A osoby organizatorskie starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowały nawet widzów grochówką.","A osoby organizatorskie starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowali nawet widzów grochówką.",1,0.017094017094017096
15,1,"Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko sprzątaczka.","Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko osoba sprzątająca.","Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko sprzątaczka.",0,0.0891089108910891
25,1,"Ten, kto dyktuje warunki, kto powołał narratora i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.","Ten, kto dyktuje warunki, kto powołał osobę narratorską i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.","Osoba, która dyktuje warunki, kto powołał osobę narraterską i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.",1,0.05907172995780591
29,1,Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi sędzia Rafał Lisak.,Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówiła osoba sędziowska Rafał Lisak.,Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi osoba sędziowska Rafał Lisak.,1,0.013793103448275862
30,1,W 2000 roku sejneńscy mleczarze skupili ponad 23 mln litrów surowca.,W 2000 roku sejneńskie osoby mleczarskie skupiły ponad 23 mln litrów surowca.,W 2000 roku sejneńscy mleczarze skupili ponad 23 mln litrów surowca.,0,0.16883116883116883
33,1,"U młodej dziewczyny psychiatra rozpoznał początki choroby psychicznej, dziewczyna myśli o samobójstwie.","U młodej dziewczyny osoba zajmująca się psychiatrią rozpoznała początki choroby psychicznej, dziewczyna myśli o samobójstwie.","U młodej dziewczyny osoba psychiaterska rozpoznała początki choroby psychicznej, dziewczyna myśli o samobójstwie.",1,0.144
40,1,"Ponownie zabrakło punktów juniora - powiedział opiekun Płomienia, Franciszek Hylla.","Ponownie zabrakło punktów osoby juniorskiej - powiedział opiekun Płomienia, Franciszek Hylla.","Ponownie zabrakło punktów osoby juniorskiej - powiedziała osoba opiekująca się Płomienia, Franciszek Hylla.",1,0.14018691588785046
41,1,"Na jaką cholerę zachęcono 100 lokatorów do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musieli je zlikwidować?","Na jaką cholerę zachęcono 100 osób lokatorskich do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musiały je zlikwidować?","Na jaką cholerę zachęcono 100 osób lokatorskich do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musieli je zlikwidować?",1,0.022222222222222223
