type;source_sentence
1;Sędzini jak ognia unika dziennikarzy.
1;Pani sędzia postąpiła zgodnie z prawem, bowiem obaj przyznali się do winy. 
1;To była zbrodnia usiłowania zabójstwa - grzmiał sędzia Jarosław Leszczyński.
1;W związku z tym sędzia miała świętą rację mówiąc, że katolicy mogą uważać to za zabójstwo ale nie mogą kogo innego nazywać mordercą.
1;Gdyby po kwadransie, po wywieszeniu pierwszego obraźliwego transparentu sędzia kazał ogłosić, że za chwilę przerwie mecz, jestem pewien, że nie doszłoby do palenia szalików, rzucania niebezpiecznych przedmiotów na murawę i nie trzeba byłoby zamykać stadionu.
1;W klasie okręgowej sędzia główny otrzyma 90 zł brutto.
1;Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi sędzia Rafał Lisak.
1;To nie może pani dawać dziecku normalnego mleka – dziwiła się sędzia Kubczak.
1;Młody mężczyzna skoczył na głowę z pierwszego piętra świdnickiego sądu tuż po tym, gdy sędzia wydał nakaz jego aresztowania.
1;Podczas czwartkowej rozprawy sędzia Tomasz Sikora podkreślił, że sprawa jest skomplikowana i wymaga jeszcze od sądu zastanowienia.
1;W opinii Andrzejewskiego dzięki wprowadzonym zmianom to sędzia będzie określał, co jest, a co nie jest pornografią.
1;Podczas piątkowego posiedzenia sędzia Harz zapytała, czy sprawcy pobicia znają świadka i podała im jego imię i nazwisko.
1;Zapanowała cisza, przede wszystkim ze zdumienia, że sędzia mógł znać imię skromnej Sary Grünspan mieszkającej na Legionów przy Cmentarnej.
1;Wreszcie znalazł zielone, o których mówił sędzia, także pomalowane niedokładnie.
1;Sędzia także to zauważył.
1;Uznała to za niedopuszczalne i była ciekawa, czy sędzia to widzi.
1;To sędzia może na kundelka nałożyć zakaz szczekania.
1;Różowiutki sędzia uderzył pięścią w stół.
1;Ale przecież poprzednio - sędzia wydobył przeciągły ton z trąbki, przyglądał jej się ze zdziwieniem - poprzednio był pan przeciwny.
1;Pani sędzia wymusiła na niej odstąpienie od pozwu, grożąc natychmiastowym wezwaniem pogotowia i przewiezieniem do szpitala psychiatrycznego.
1;5 rzutów karnych podyktował paragwajski sędzia w meczu Argentyna - Kolumbia (0:3) w turnieju Copa America.
1;Po ostrym proteście MSZ sędzia federalny z Nowego Jorku Eugene Nickerson wystosował wczoraj formalną prośbę do polskich władz o pomoc w tej sprawie.
1;Dwie minuty przed końcem gry, przy stanie 2:1 dla gości, sędzia podyktował dla nich bardzo dyskusyjny rzut karny po starciu bramkarza Napoli Giovanniego Galli ze Schillacim.
1;Histerycznie zachowywała się też, gdy sędzia ogłosił wyrok: 5 lat ciężkiego więzienia.
1;Minęło 90 regulaminowych minut, ale sędzia nakazał doliczyć jeszcze kolejne cztery.
1;Sędzia powtarzał manipulacje z kartami, tymczasem zanim ktokolwiek zdołał zapytać, co się stało, Piekarski rozpiął pasy i wyskoczył z wozu.
1;Więc po np. 15 latach, rozpatrując prośbę o przedterminowe warunkowe zwolnienie bezwzględnego charakteropaty, sędzia penitencjarny przegląda zakurzone akta, które niewiele mówią, a w każdym razie nie zawierają ładunku grozy i społecznych emocji towarzyszących przed laty przestępstwu i... puszcza człowieka.
1;Potem sędzia H. miał otrzymać jeszcze mercedesa i 15 tys. złotych łapówki od Andrzeja D.
1;Każdy sędzia będzie miał pod pulpitem dwa guziki.
