type;source_sentence;target_sentence
1;Cieśla jest rzemieślnikiem specjalizującym się w obróbce drewna.;Osoba ciesielska jest rzemieślnikiem specjalizującym się w obróbce drewna.
1;Co robi cieśla w swojej pracy?;Co robi osoba ciesielska w swojej pracy?
1;Cieśla często sam powleka drewno środkami grzybobójczymi, owadobójczymi i uodparniającymi na ogień oraz przeciwdziałającymi przyczepności betonu do drewna.;Osoba ciesielska często sam powleka drewno środkami grzybobójczymi, owadobójczymi i uodparniającymi na ogień oraz przeciwdziałającymi przyczepności betonu do drewna.
1;Cieśla organizuje i wykonuje prace przy zastosowaniu narzędzi i sprzętu do robót ciesielskich, np. piła tarczowa, wiertarka, siekiera, ;Osoba ciesielska organizuje i wykonuje prace przy zastosowaniu narzędzi i sprzętu do robót ciesielskich, np. piła tarczowa, wiertarka, siekiera, 
1;Rozkład zarobków na stanowisku cieśla: miesięczne wynagrodzenie całkowite (mediana*) na tym stanowisku wynosi 7 380 PLN brutto.;Rozkład zarobków na stanowisku osoba ciesielska: miesięczne wynagrodzenie całkowite (mediana*) na tym stanowisku wynosi 7 380 PLN brutto.
0;Relacjonując to memu bratu, opuszczam różne własne domniemania, czy ów motyw jazdy na trasie z Bordeaux do Paryża, powtarzający się wiecznie w szczególikach, nie jest aby metaforycznym odpowiednikiem pewnych istotnych zdarzeń na jawie.;Relacjonując to memu bratu, opuszczam różne własne domniemania, czy ów motyw jazdy na trasie z Bordeaux do Paryża, powtarzający się wiecznie w szczególikach, nie jest aby metaforycznym odpowiednikiem pewnych istotnych zdarzeń na jawie.
1;Detektyw pracował dla aresztowanego ze Śląska, Henryka M. (51 l.).;Osoba detektywistyczna pracowała dla aresztowanego ze Śląska, Henryka M. (51 l.).
0;Byłem pewien, że pod kołami znajdę rozszarpane ciało - wzdryga się człowiek kierujący towarowym składem złożonym z trzech lokomotyw i trzydziestu pięciu załadowanych do pełna węglem wagonów, które przetoczyły się nad panem Stanisławem.;Byłem pewien, że pod kołami znajdę rozszarpane ciało - wzdryga się człowiek kierujący towarowym składem złożonym z trzech lokomotyw i trzydziestu pięciu załadowanych do pełna węglem wagonów, które przetoczyły się nad panem Stanisławem.
0;Udało się wprawdzie zamknąć dopływ gazy do budynku, jednak nie ustalili źródła wycieku.;Udało się wprawdzie zamknąć dopływ gazy do budynku, jednak nie ustalili źródła wycieku.
0;W ubiegłym roku wprowadził on zakaz sprzedawania prezerwatyw, ale musiał się z tego wycofać, gdyż władze zwierzchnie uznały to posunięcie za sprzeczne z konstytucją.;W ubiegłym roku wprowadził on zakaz sprzedawania prezerwatyw, ale musiał się z tego wycofać, gdyż władze zwierzchnie uznały to posunięcie za sprzeczne z konstytucją.
0;Wygrajmy także także tą batalię o wpływ na kształt życia społecznego.;Wygrajmy także także tą batalię o wpływ na kształt życia społecznego.
0;Przestrzeganie zasad dobrego udoju ma niewątpliwy wpływ na jakość pozyskanego przez rolnika surowca, a co za tym idzie na cenę, jaką producent mleka może za swój produkt uzyskać.;Przestrzeganie zasad dobrego udoju ma niewątpliwy wpływ na jakość pozyskanego przez rolnika surowca, a co za tym idzie na cenę, jaką producent mleka może za swój produkt uzyskać.
0;Największy szkodliwy wpływ może mieć niewłaściwe układanie i zagęszczanie.;Największy szkodliwy wpływ może mieć niewłaściwe układanie i zagęszczanie.
0;W stosunku do dekady poprzedniej najbardziej, bo o 2,6 proc. obniżyły się ceny ziemniaków, warzyw, owoców i ich przetworów.;W stosunku do dekady poprzedniej najbardziej, bo o 2,6 proc. obniżyły się ceny ziemniaków, warzyw, owoców i ich przetworów.
0;Obiektyw wsadził w szparę, rozchyloną jakby na ostatnie westchnienie.;Obiektyw wsadził w szparę, rozchyloną jakby na ostatnie westchnienie.
0;"Mam do sprzedania mało używany następujący sprzęt fotograficzny: aparat Zenit 122 z obiektywem MC HELIOS; 44m -7 (na gwarancji); obiektyw szerokokątny MC MNP - 20M; lampę błyskową SAKAR 77 AZ (liczba przewodnia 32, głowica w pełni obracalna, półautomat, na gwarancji).";"Mam do sprzedania mało używany następujący sprzęt fotograficzny: aparat Zenit 122 z obiektywem MC HELIOS; 44m -7 (na gwarancji); obiektyw szerokokątny MC MNP - 20M; lampę błyskową SAKAR 77 AZ (liczba przewodnia 32, głowica w pełni obracalna, półautomat, na gwarancji)."
0;To dlatego ostatnia sejmowa rozgrywka zamieniła się w jego porażkę - pisze Wiesław S. Dębski.;To dlatego ostatnia sejmowa rozgrywka zamieniła się w jego porażkę - pisze Wiesław S. Dębski.
0;Aktyw lewicowy zdołał przeprowadzić olbrzymią większość masy partyjnej na pozycję marksizmu-leninizmu i mimo wszystkie pomyłki masowa, półmilionowa partia robotnicza oczyszczając się z błędów i klasowo obcych naleciałości, staje dziś obok PPR jako współtwórczyni Polskiej Zjednoczonej Partii Robotniczej.;Aktyw lewicowy zdołał przeprowadzić olbrzymią większość masy partyjnej na pozycję marksizmu-leninizmu i mimo wszystkie pomyłki masowa, półmilionowa partia robotnicza oczyszczając się z błędów i klasowo obcych naleciałości, staje dziś obok PPR jako współtwórczyni Polskiej Zjednoczonej Partii Robotniczej.
0;"Stanie się to chyba z końcem 1961 roku - odpowiedział amerykański tygodnik ""Newsweek"" w noworocznej ankiecie na temat perspektyw dziesięciolecia 1960-1970.";"Stanie się to chyba z końcem 1961 roku - odpowiedział amerykański tygodnik ""Newsweek"" w noworocznej ankiecie na temat perspektyw dziesięciolecia 1960-1970."
1;Jak detektyw popatrzmy, co mówi o tym horoskop.;Jak osoba detektywistyczna popatrzmy, co mówi o tym horoskop.
0;"Mam do sprzedania prezentacje maturalną ""Motyw winy i katy w literaturze różnych epok"".";"Mam do sprzedania prezentacje maturalną ""Motyw winy i katy w literaturze różnych epok""."
0;Stąd ciągły napływ obcego kapitału na nasz rynek.;Stąd ciągły napływ obcego kapitału na nasz rynek.
0;Czy jakiś wpływ ma na to system kastowy?;Czy jakiś wpływ ma na to system kastowy?
1;Niestety, słynny detektyw z fajką w zębach odszedł przedwcześnie i nie zdążył wyjaśnić, kim był Bolek.;Niestety, słynna osoba detektywistyczna z fajką w zębach odeszła przedwcześnie i nie zdążyła wyjaśnić, kim był Bolek.
1;Pierwszą rzeczą, którą detektyw robi po uzyskaniu od klientki danych męża oraz danych podejrzanych o sypianie z nim kobiet, jest wejście na portal nasza-klasa.pl.;Pierwszą rzeczą, którą osoba detektywistyczna robi po uzyskaniu od klientki danych męża oraz danych podejrzanych o sypianie z nim kobiet, jest wejście na portal nasza-klasa.pl.
1;Siedzimy w ogrodzie: Varisella, jego przyjaciel Rafał R., prywatny detektyw i ja.;Siedzimy w ogrodzie: Varisella, jego przyjaciel Rafał R., prywatna osoba detektywistyczna i ja.
0;"Pierwszy z nich hm. W. Mucha-Kruczyński wspomniał harcerską drogę dh. ""Sowy"", jego 18-letnie komenderowanie hufcowi Szarych Szeregów i wiele harcerskich inicjatyw.";"Pierwszy z nich hm. W. Mucha-Kruczyński wspomniał harcerską drogę dh. ""Sowy"", jego 18-letnie komenderowanie hufcowi Szarych Szeregów i wiele harcerskich inicjatyw."
0;"Ks. Rydzyk zasłonił obiektyw ręką, a pracownicy ""Tormięsu"" pospiesznie zasłonili go transparentem.";"Ks. Rydzyk zasłonił obiektyw ręką, a pracownicy ""Tormięsu"" pospiesznie zasłonili go transparentem."
0;Jutro spływ starym korytem do Supraśla, następnie do Wasilkowa.;Jutro spływ starym korytem do Supraśla, następnie do Wasilkowa.
0;Jednocześnie wyraził ubolewanie, że nie dostosowujemy odpowiednio szybko naszego ustawodawstwa do dyrektyw unijnych.;Jednocześnie wyraził ubolewanie, że nie dostosowujemy odpowiednio szybko naszego ustawodawstwa do dyrektyw unijnych.
0;Rozrywka jest kołem zamachowym telefonii komórkowej, a MMS bardzo ją uatrakcyjnią.;Rozrywka jest kołem zamachowym telefonii komórkowej, a MMS bardzo ją uatrakcyjnią.
0;Jego zdaniem konflikt ujawnił brak perspektyw w takiej sytuacji.;Jego zdaniem konflikt ujawnił brak perspektyw w takiej sytuacji.
0;Następnie rozłożyła wysoki statyw, zawiesiła na nim pudełko, przeprowadziła od niego przezroczysty przewód do igły.;Następnie rozłożyła wysoki statyw, zawiesiła na nim pudełko, przeprowadziła od niego przezroczysty przewód do igły.
0;Przepływ informacji jest dobry.;Przepływ informacji jest dobry.
0;Stań, nie tak, ręka niżej, bądź milsza, twarz pochyl, spójrz w obiektyw!;Stań, nie tak, ręka niżej, bądź milsza, twarz pochyl, spójrz w obiektyw!
0;Wyciera palcami pot ze swojego czoła i smaruje nim obiektyw.;Wyciera palcami pot ze swojego czoła i smaruje nim obiektyw.
1;Najbardziej niepokorna z dziewiętnastowiecznych mieszczanek krakowskich i wyjątkowo skuteczna detektywka Zofia Szczupaczyńska na potrzeby francuskich czytelników przedzierżgnęła się w Zofię Turbotyńską!;Najbardziej niepokorna z dziewiętnastowiecznych mieszczanek krakowskich i wyjątkowo skuteczna osoba detektywistyczna Zofia Szczupaczyńska na potrzeby francuskich czytelników przedzierżgnęła się w Zofię Turbotyńską!
1;Detektywka udawała kelnerkę w klubie nocnym;Osoba detektywistyczna udawała kelnerkę w klubie nocnym
0;Z tendencją do przemieszczania się wyżów w niższe szerokości geograficzne jest związany napływ ciepłego powietrza w zachodniej części układu.;Z tendencją do przemieszczania się wyżów w niższe szerokości geograficzne jest związany napływ ciepłego powietrza w zachodniej części układu.
0;Śpią w noclegowni koło lokomotyw.;Śpią w noclegowni koło lokomotyw.
