type;source_sentence;target_sentence;generated_text;score
0;W przypadku tych ostatnich gatunków kopulacja odbywa się bez penetracji samic poprzez styk nabrzmiałych warg kloak.;W przypadku tych ostatnich gatunków kopulacja odbywa się bez penetracji samic poprzez styk nabrzmiałych warg kloak.;W przypadku tych ostatnich gatunków kopulacja odbywa się bez penetracji samic poprzez styk nabrzmiałych warg kloak.;1
0;Ja dziś, daję ci najświętsze słowo, zamiast ściągać pasek musiałem go trochę rozluźnić!;Ja dziś, daję ci najświętsze słowo, zamiast ściągać pasek musiałem go trochę rozluźnić!;Ja dziś, daję ci najświętsze słowo, zamiast ściągać pasek musiałem go trochę rozluźnić!;1
0;Obejmuje ona badania lekarskie, zabiegi chirurgiczne oraz pooperacyjną opiekę, a także zapewnia bezpłatne lub refundowane leki na wiele chorób.;Obejmuje ona badania lekarskie, zabiegi chirurgiczne oraz pooperacyjną opiekę, a także zapewnia bezpłatne lub refundowane leki na wiele chorób.;Obejmuje ona badania lekarskie, zabiegi chirurgiczne oraz pooperacyjną opiekę, a także zapewnia bezpłatne lub refundowane leki na wiele chorób.;1
1;Dzieło nie jest dokończone, ale twarz, głowę, ramiona mistrz zdążył już oddać w szczegółach.;Dzieło nie jest dokończone, ale twarz, głowę, ramiona osoba mistrzowska zdążyła już oddać w szczegółach.;Dzieło nie jest dokończone, ale twarz, głowę, ramiona osoba mistrzowska zdążyła już oddać w szczegółach.;1
1;Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, socjolog.;Punkowcy zamanifestowali, że nie tylko motocykliści mają prawo do takich skór - tłumaczy Mirosław Pęczak, osoba socjologiczna.;Punkowcy zamanifestowali, że nie tylko osoby motocyklistyczne mają prawo do takich skór - tłumacze Mirosław Pęczak, osoba socjologiczna.;1
1;Parlamentarzysta nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.;Osoba parlamentarzystyczna nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.;Osoba parlamentarska nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.;1
0;Za żadne pieniądze kobyły tej nie sprzedał.;Za żadne pieniądze kobyły tej nie sprzedał.;Za żadne pieniądze kobyły tej nie sprzedał.;1
1;Ale kiedy przewrócili Firstwooda na ziemię i trzymali z wykręconymi rękami, a jeden z kelnerów wrócił do restauracji, by zadzwonić po gliny, musiała działać.;Ale kiedy przewrócili Firstwooda na ziemię i trzymali z wykręconymi rękami, a jedna z osób kelnerskich wróciła do restauracji, by zadzwonić po gliny, musiała działać.;Ale kiedy przewrócili Firstwooda na ziemię i trzymali z wykręconymi rękami, a jedna z osób kelnerskich wróciła do restauracji, by zadzwonić po gliny, musiała działać.;1
0;Trasy europejskie przebiegające przez Bośnię i Hercegowinę.;Trasy europejskie przebiegające przez Bośnię i Hercegowinę.;Trasy europejskie przebiegające przez Bośnię i Hercegowinę.;1
0;Przewodność cieplna – drewno źle przewodzi ciepło, zatem jest dobrym izolatorem.;Przewodność cieplna – drewno źle przewodzi ciepło, zatem jest dobrym izolatorem.;Przewodność cieplna – drewno źle przewodzi ciepło, zatem jest dobrym izolatorem.;1
