type;source_sentence
1;Skąd parlamentarzysta Platformy Obywatelskiej Jarosław Wałęsa (30 l.) ma kilkaset tysięcy dolarów w obligacjach?
0;7 lipca 2000 roku w Sopocie odbędzie się uroczysta inauguracja działalności stacji muzycznej MTV Polska.
1;Proszę bardzo - westchnął nieziemsko cierpliwy kulturysta i wyciągnął skądś z samego środka bałaganu nie opisaną dyskietkę.
0;Uroczysta msza święta w intencji reprezentacji Polski w piłce nożnej została odprawiona w piątek w Kazimierzu Dolnym.
0;Z niemieckich dróg korzysta rocznie od 4,5 do 5 milionów ciężarówek.
0;Nieco podobnie, trzysta lat później, naiwną imitacją - w najlepszym znaczeniu tego słowa - kubizmu były obrazy Tadeusza Makowskiego, także urodzonego w Oświęcimiu.
1;Warsztaty malarskie dla młodzieży gimnazjalnej i ponadgimnazjalnej, które poprowadzi artysta plastyk powiatu raciborskiego.
1;Artysta odleciał do Egiptu, gdzie wystąpi na dwóch koncertach.
0;Bo gdy ktoś pracuje a ktoś inny korzysta z zabranych pod przymusem owoców jego pracy nie dając mu w zamian żadnych usług - mamy do czynienia z niewolnictwem.
0;Zawsze przed piciem czegokolwiek ze szklanki sprawdzam czy jest czysta.
1;Certyfikatysta, bił w nich kasarnianym słtiwem jak pięścią, która też była nie od parady.
0;To jest imię twojej duszy, która jest czysta jak śnieg.
1;Artysta nie wiedział jednak, w co wdeptuje, kiedy przedstawiał wizję Jacksonlandu w kraju Przedmurza i Wartości.
1;"Artystka, jak plotki głoszą, dała historycznej ""S"" rabat i zaśpiewała za jedyne 30 tys. zetów."
1;Raz na kwartał zdarzy się dziecko, które tak przeraża dentysta, że nie ma mowy, by usiadło na fotel.
1;Makijażystka użyła kosmetyków firmy L'Oreal.
1;"O Leszku Millerze piszą wszyscy, więc napisał też subtelny artysta w ""Tygodniku Solidarność”."
1;Artysta w rozległych przestrzeniach obrazu umieszcza znaki, które można porównać do przedmiotów o zredukowanych kształtach.
1;Na gitarce tam zobacz gitarzysta z takim brelokiem, ostatnio widziałem, łysy taki..
1;Masażystka, 30 lat: - Być może mogę urodzić za dwa lata, kiedy z macierzyńskiego wróci koleżanka, która uzgodniła z szefową, że może teraz zachodzić w ciążę.
0;Ze statystyk wynika, że dziennie z usług Connexu korzysta 157 000 osób.
0;To wcale nie jest moja historia ojczysta - odparłem.
1;Klik to komiks erotyczny, którego autorem jest włoski scenarzysta Milo Manara.
0;Wykład pisma świętego może w rzeczywistości stać się narzędziem antychrysta.
1;Czekał na coś lepszego przez rok, dwa lata, aż zaczął się z biedy wynajmować jako statysta do filmów, gdzie z racji potężnej postury i imponującej brody wielce go ceniono.
0;Uwagę zwraca szczególna kolorystyka i rodzaj światła, jakie zostały uchwycone w malarskich impresjach.
1;"Z początkiem 1889 roku wiąże się z ""Kurierem Lwowskim”, gdzie przez dwanaście lat pracuje jako publicysta."
1;Parlamentarzysta nie chce uczestniczyć w kluczowej dla współczesnej Europy debacie: jak budować poczucie obywatelskiej wspólnoty i wzajemnego zaufania w wielokulturowym świecie.
1;Rodzi się pytanie, jaka jest struktura wiedzy, z której korzysta profesjonalista?
1;Mirosław S. Żochowski, o którym publicysta mówi: - Pan Żochowski jest arcy-Polakiem.
1;Wiesz, teraz zrozumiałem, że artysta jest człowiekiem publicznym.
1;Ta artystka jest najbardziej wziętą organizatorką przyjęć w Trójmieście.
1;W młodości świetnie się zapowiadający, a później raczej niespełniony artysta malarz, strzelił trzykrotnie z bliskiej odległości przez futro w plecy Gabriela Narutowicza, który tylko przez 3 dni sprawował najwyższy w kraju urząd.
0;Droga górzysta i pusta: ani samochodów, ani stad bydła.
0;Przeprosiny poprzedziła uroczysta Msza św. odprawiona na plaży, w stanie Bahia, gdzie 26 kwietnia 1500 r. franciszkanin Henrique de Coimbra celebrował, w cztery dni po przybyciu tam Portugalczyków, pierwszą Mszę św. na ziemi brazylijskiej.
1;Utalentowana artystka zachwyciła wszystkich, choć znalazł się mężczyzna, który niecelnie rzucał w nią jajkami.
1;"Dwanaście pięter wyżej odlepiła nos od szyby stażystka w ""Bazarze Warszawskim""."
1;Artystka zażądała czarnej kotary i profesjonalnego oświetlenia.
1;Artysta ma być również gościem tegorocznego Międzynarodowego Festiwalu Sztuki Autorów Zdjęć Filmowych Camerimage w Łodzi.
1;"Najgłośniejszy japoński reżyser filmowy i scenarzysta zyskał światową sławę przede wszystkim dzięki swemu historycznemu filmowi ""Rashomon"", uhonorowanemu na festiwalu filmowym w Wenecji w 1951."
1;Dziś artysta idzie na wojnę z komuną, a ujawniona w słowach piosenek postawa ma charakter jasno określony w sensie politycznym.
1;To gitarzysta amerykańskiego zespołu hardrockowego/numetalowego Disturbed.
0;Matką kociąt jest SAMIRA ELMRIDGE, kotka srebrzysta cętkowana, która przyjechała z Wielkiej Brytanii do Polski w maju 2006 roku, a ojcem MATIKI'S AMULET OF SCHOOERTJES, kocur srebrzysty cętkowany, pochodzący z jednej z najstarszych i najbardziej zasłużonych amerykańskich hodowli, obecnie mieszkający w Holandii.
