,Unnamed: 0,sentence
411,411,"Ale się mylił. Podróbka trafiła do domu aukcyjnego Polswiss Art. - Eksperci skierowali obraz na aukcję - mówi Jabrzyk. W katalogu nazwano go ""Zjawa"", 1959 r. W marcu 2005 obraz poszedł za 9,5 tys. zł. - Nabywca był podstawiony przez nas. Dostał certyfikat autentyczności - mówi Jabrzyk. Jarosław Wilk też nie chce oficjalnie rzucać oskarżeń na sąd. Kiwa tylko ze smutkiem głową. Pani sędzia jak ognia unika dziennikarzy. Tymczasem wiceprezes Sądu Rejonowego w Kędzierzynie, Anna Lipnicka, broni decyzji koleżanki. - Pani sędzia postąpiła zgodnie z prawem, bowiem obaj podejrzani przyznali się do winy. Przechodzień, który pomógł bitemu policjantowi, już dostaje pogróżki. Chiny. Zakończyła się właśnie budowa Tamy Trzech Przełomów na rzece Jangcy. To największe tego rodzaju przedsięwzięcie na kuli ziemskiej. Budowa pochłonęła oficjalnie 25 mld dolarów, a za dwa lata w pobliżu ma stanąć potężna elektrownia. Zdaniem wielu ekologów tama będzie największą klapą, bo muł niesiony rzeką Jangcy zatrzyma pracę turbin elektrowni. Wielka Brytania. Ale numer!"
452,452,"Ponad 700 pożarów wybuchło tylko w lipcu w polskich lasach. Z powodu ostatnich upałów już rano wilgotność ściółki nie przekracza 15 proc. Minionej doby strażacy gasili pożary w 173 lasach. Najwięcej pożarów wybuchło w środę w województwie mazowieckim - 49, w lubuskim - 25, a w łódzkim i podlaskim - po 14. Od początku roku strażacy gasili lasy 5 tys. razy. Jarosław Szczepański, rzecznik TVP, przygotowuje się do odejścia z telewizji. Przerzucił już numery z telefonu służbowego na prywatny i rozgląda się za nową robotą. - Nikt o mojej przyszłości w TVP ze mną nie rozmawiał - mówi nam Szczepański. - Na razie zamierzam udać się na urlop. - Nie umiałem ocenić, czy widzę małego chłopaka, czy mężczyznę. Przez warstwę wżartego w skórę brudu nie można było dostrzec rysów twarzy. Nogi miał chude jak patyczki. Uderzał rękami w głowę, drapał twarz. Rozpaczliwie jęczał. Nie rozumiał, co do niego mówię. Był jak zwierzątko - opowiada Cavour. Przesłanką tymczasowego aresztowania musi być zagrożenie karą co najmniej ośmiu lat więzienia. Za groźby karalne sąd może wymierzyć dwa lata. Dla mnie osobiście ta sprawa jest przerażająca i z pewnością prokuratura będzie się domagała dla sprawcy surowej kary, ale nie mogliśmy domagać się jego aresztowania. W tym przypadku sprawdziłby się system 24-godzinnych postępowań przed sądem. Dzięki takiemu sprawca mógłby już teraz siedzieć w więzieniu. Wtedy do akcji wkroczyli rodzice Marianny Czupinki. Przyjechali do Polski, zaopiekowali się Oskarem i zabronili jego ojcu widywać syna. Włodzimierz Czupinka ma w ręku prawomocny wyrok sądu, że tylko on ma prawa rodzicielskie nad chłopcem. Mimo to może nie zobaczyć już syna, bo dziadkowie uprowadzili go na Ukrainę. Prokuratura ustaliła, że wywieźli dziecko nielegalnie. Sylwester i Nowy Rok przypadają w niedzielę i poniedziałek. Wystarczy więc między Bożym Narodzeniem a sylwestrem wziąć trzy dni urlopu, by w środku zimy zafundować sobie 10-dniowe wakacje. Projekt zmian w kodeksie pracy jest teraz dyskutowany. - Jest szansa, że w lipcu trafi do Sejmu. Wówczas proces legislacyjny będzie zakończony jeszcze przed świętami - przewiduje Gienieczko. - Odebranie imienia będzie moralną karą dla Cracovii - uważa radny Nidecki, który przed rokiem głosował za jego nadaniem. Sam od 40 lat kibicuje Cracovii. Był na ostatnich derbach. Spektakl nienawiści i agresji pod szyldem papieża przeraził go. - Dość szargania świętości, ten obiekt nie jest godzien nosić imię Jana Pawła II - zapowiada. Gdybyśmy wszyscy byli tacy uczciwi... Mateusz Koper (17 l.) i Michał Kowalski z Niedrzwicy Dużej pod Lublinem podczas zakupów w Lublinie znaleźli portfel z 3500 zł i od razu odnieśli kasę na policję. Mundurowi odnaleźli właściciela zguby, człeka chytrego, jak się później okazało. Psycholodzy rozróżniają dwa typy kłamstw: białe i czarne. - Białe są wtedy, gdy chcemy chronić kogoś lub siebie - wyjaśnia prof. Antas. Np. gdy chwalimy nową spódnicę przyjaciółki, która naprawdę jest koszmarną szmatą. - Takie kłamstwa są wręcz pożądane, bo sprzyjają budowaniu więzi między ludźmi - uważa prof. Antas. ""Trzeba unikać aroganckiej pozy sędziów minionych pokoleń, które żyły w innych czasach i innych okolicznościach"" - mówił w czwartek w Warszawie papież Benedykt XVI. Po tej wypowiedzi papieża zapytaliśmy księdza Tadeusza Isakowicza-Zaleskiego, gorącego zwolennika lustracji, jak odebrał te słowa. Związek Zawodowy Pielęgniarek i Położnych na Podkarpaciu podejmie dziś decyzję o strajku - zapowiada przewodnicząca związku, Halina Kalandyk. Pielęgniarki chcą się włączyć do strajku lekarzy, bo nie chcą zostać pominięte w przyznawaniu podwyżek. W siedmiu podkarpackich szpitalach od środy trwa strajk lekarzy domagających się 30-procentowych podwyżek. Wczoraj rano lekarze zaostrzyli akcję. Pracują jedynie lekarze dyżurni, a do szpitala przyjmowani są tylko pacjenci z zagrożeniem życia. Nie pracuje większość przychodni specjalistycznych. Sędziowie nie dali się nabrać na jego nędzne sztuczki. - To była zbrodnia usiłowania zabójstwa - grzmiał sędzia Jarosław Leszczyński. - Sposób działania oskarżonego, niezwykle brutalny w stosunku do bezbronnego dziecka, pozwala przyjąć, że działał z zamiarem pozbawienia życia. Wyrok 25 lat stosuje się w przypadku szczególnie drastycznych przestępstw. I tak jest właśnie w tym wypadku. Ważne jest, by zwrotu kosztów zażądać na piśmie. Musisz to zrobić nie później, niż do momentu zamknięcia rozprawy poprzedzającej wydanie orzeczenia. Zasądzenie kosztów od strony przegrywającej obejmuje nie tylko opłaty sądowe, ale i wynagrodzenie adwokata oraz koszty dojazdu do sądów na rozprawy, na których twoja obecność była konieczna. Część wydanych ""na sąd"" pieniędzy można odzyskać, jeśli twoje działania miały wpływ na skrócenia postępowania. Po ostrej wymianie zdań chłopak wszedł do środka, niestety nie zdążył już niczego zamówić. Pierwszy cios, który później okazał się śmiertelny, został zadany metalowym krzesłem w tył głowy. Michał osunął się na podłogę. Wtedy napastnicy zaczęli go kopać po całym ciele. Po kilkunastu minutach chłopak odzyskał przytomność i udało mu się jakoś wrócić do hotelu. - W Krzyczkach leży jeszcze kilkadziesiąt zakopanych psów. Wydobyliśmy dopiero połowę z tych, które zostały pomordowane - alarmują obrońcy praw zwierząt. Schronisko prawdopodobnie będzie zamknięte. Ta sprawa wstrząsnęła całą Polską. Zbigniew L., właściciel przytuliska w Krzyczkach koło Nasielska, brał pieniądze od gmin na utrzymanie psów, a potem je usypiał. Przerażające cmentarzysko odkryli w zeszłym tygodniu obrońcy praw zwierząt. Zbigniewa L. i Annę C., kierowniczkę schroniska, zatrzymała policja. Cała czwórka dyskutowała wczoraj o programie naprawy finansowania służy zdrowia. - Osiągnęliśmy porozumienie w 95 procentach - mówił po spotkaniu zadowolony Religa, przyznając, że punktem spornym między nim a wicepremier Gilowską pozostaje tzw. ustawa pielęgnacyjna (chodzi o zwiększenie o 1,2 proc. składki na zdrowie). - Pozostałe punkty zostały zatwierdzone. Znaczy to, że rząd zgadza się na propozycje ministra Religi, żebyśmy płacili za wizyty u specjalisty i pobyt w szpitalu. Ruch w tym miejscu odbywał się wahadłowo. Przed światłami kierujący ruchem zatrzymał tira, a za nim stanęła skoda. Jadący za nią inny tir - marki Scania - nie zatrzymał się, uderzył w samochód osobowy i zepchnął go pod pierwszego tira. Na miejscu zginęli dwaj mężczyźni podróżujący skodą: 37-letni kierowca z Radomia i 32-letni pasażer z województwa zachodniopomorskiego. Cichociemni spotkali się w GROM-ie. Ta specjednostka nosi bowiem imię legendarnych skoczków spadochronowych Armii Krajowej. Od 1941 do 1944 r. do Polski zrzucono ich 316. W czasie wojny zginął co trzeci. Kilku - z wyroków sądów PRL. Po wojnie w polskich więzieniach siedzieli prawie wszyscy, którzy nie uciekli za granicę. Na świecie żyje 18 cichociemnych. Do GROM-u dotarło ośmiu. Pannę Wiosnę rozpiera młodzieńcza energia. Jej pasją jest sport. Tylko czeka, aż zrobi się ciepło, zazielenią się parki i skwery, wyjrzy słońce. Wtedy będzie mogła z radością oddać się rowerowym szaleństwom. - Każdą wolną chwilę chcę spędzić na świeżym powietrzu!"
1198,1198,– kropka Joachim Brudziński bardzo proszę Joachim Brudziński bo nie zdążymy – ale ale ale ale jedno zdanie panie pośle. w związku z tym – ale jedno – sędzia miała świętą rację mówiąc. że katolicy mogą uważać to za zabójstwo ale nie mogą kogo innego nazywać mordercą no – bardzo proszę Joachim Brudziński – powiem jedno zdanie. proszę bardzo. tyle tylko że na dzisiaj asymetria jest tak wyraźna. w wzajemnych naszych relacjach ze Stanami Zjednoczonymi. że w tej polityce. geopolityce. Stany Zjednoczone muszą. zrobić ten krok w kierunku zmniejszenia tej asymetrii. a nie że my będziemy. przypatrywać się jak ona się dalej pogłębia – to to. to je to jest sensacyjne oświadczenie – podziwiam fantastyczne samopoczucie panów. którzy po pierwsze udają że istnieje jakieś życie wewnątrzpartyjne w naszych partiach. nie istnieje. znaczy w waszej wyobraźni istnieje i w wyobraźni dziennikarzy którzy muszą się tym zajmować. mówię z naciskiem na muszą. bo to. bo to ciekawe nie jest – ale mieliśmy nadzieję że będziemy takim partnerem okazało się że nie jesteśmy i jeszcze żeby skończyć – przepraszam bardzo ale ja skończę zdanie – bardzo proszę – my moglibyśmy być strategicznym partnerem gdyby Stany Zjednoczone prowadziły jakąś krucjatę antyrosyjską to wtedy my jesteśmy przedmurzem i jesteśmy strategicznym partnerem – mało tego że nie tylko politycy się pokłócili ale nawet rodziny katyńskie. pokłóciły się między sobą. i to wylało się poza granice naszego kraju. a ci na tym ujeżdżali – i jak możemy zmienić ton w stosunkach ro z Rosją czy w ogóle powinniśmy zmieniać ton w stosunkach z Rosją – czyli tutaj tutaj. tutaj pa panowie się zgadzają chodzi o odbudowę. polityki imperialnej Rosji ?
1654,1654,"Odpowiedź sekretarza potwierdza diagnozę Pilawskiego - że chodzi o stołki. Rozumiem, że słowiańskość zalatująca jeszcze PRL-em, na którą powołał się niefortunnie, zdaniem pani Iwicznej, prezydent Putin może być plamą dla europejskości pani Iwicznej. Dla mojej europejskości i słowiańskość, i PRL to powód do dumy. Plamą natomiast jest przejmowanie od ""Wprost"" słownictwa typu ""Gazputin"", no i rzecz jasna poglądów. Po incydentach w meczu derbowym ukaraliście Cracovię zamknięciem stadionu na dwa mecze. Gdyby po kwadransie, po wywieszeniu pierwszego obraźliwego transparentu sędzia kazał ogłosić spikerowi, że za chwilę przerwie mecz, jestem pewien, że nie doszłoby do palenia szalików, rzucania niebezpiecznych przedmiotów na murawę i nie trzeba byłoby zamykać stadionu. Sędzia i delegat mają szereg uprawnień. Tylko że tym ludziom musi wystarczyć odwagi do ich zastosowania. W TV mówili, że zwycięstwa boksera Adamika są wynikiem jego głębokiej religijności. A więc w imię Boże - w mordę przeciwnika!"
2073,2073,"Wieżą Boga - odizolowanie się od świata we własnym domu. W położeniu odwróconym: kaprysy, potrzeba opieki ze strony bliskich, żerowanie na rodzinie, brak kontaktów z niektórymi członkami rodziny, ignorowanie potrzeb domowników, niechęć do własnego domu, ucieczka z domu, stawianie interesów obcych ponad dobro krewnych. Kochankami - podkreślanie zamożności w domu i rodzinie. W położeniu odwróconym: nadmierne używanie bogactwa, życie w luksusie, chciwość, skąpstwo, otaczanie się wpływowymi lub majętnymi ludźmi, zaborczość, gromadzenie bogactw jako główny cel życia, wykorzystywanie innych, skrajny materializm, przeliczanie wszystkiego na pieniądze. Głos nikł i stawał się coraz cichszy. Za to tuż obok siebie usłyszałam inny głos i ten drugi, choć fizycznie bliższy, wydał mi się całkiem nierealny, jakby z tandetnego filmu: - Bałem się, że już ją straciliśmy, ale praca serca normuje się. Podłączcie kroplówkę z solą fizjologiczną i elektrolitami i do rana niech ktoś przy niej czuwa, boję się, że może jeszcze się coś stać. Sądem Bożym - rodzina ograniczała rozwój intelektualny. W położeniu odwróconym: bardzo poważne ograniczenia w sferze intelektualnej, analfabetyzm, wrodzone wady rozwojowe ograniczające możliwości uczenia się, niechęć do nauki, nieumiejętność praktycznego zastosowania posiadanej wiedzy, chęć przewodzenia innym bez racjonalnych podstaw do tego. Diabłem - wstręt do miłości fizycznej, niemoc seksualna. W położeniu odwróconym: zawiść i zazdrość o sprawy materialne, dążenie do zysków materialnych przyczyną rozpadu rodziny, skrajne skąpstwo, głodzenie członków rodziny, czerpanie zysków z nierządu, zmuszanie dzieci do żebractwa, kradzieży lub prostytucji. W położeniu prostym: mediator, rozjemca, negocjator, dyplomata, polityk, plastyk, malarz, tancerz, kosmetyczka, fryzjer, balwierz, krawiec, modelka, pośrednik matrymonialny, swatka, sędzia, prokurator, dyrektor teatru, dekorator wnętrz, scenograf, prozaik, recenzent teatralny lub literacki, marszand, właściciel galerii, mecenas sztuki, osoba o dużym takcie i poczuciu piękna. Księżycem - brak kontaktu z realnym życiem. W położeniu odwróconym: brak tolerancji, rasizm, wywyższanie się nad innych z powodu pochodzenia lub koloru skóry, działania pod przymusem, przesadna dyscyplina, skrajna asceza lub rozpasanie, nieumiejętność znalezienia złotego środka w działaniach, problemy emocjonalne, brak współczucia dla innych i siebie. Koło Samsary (Sanskary) - łańcuch wydarzeń przyczynowo-skutkowych, w którym tkwimy na skutek zaciągniętych i zaciąganych negatywnych zobowiązań karmicznych, cykl nieustannych narodzin i śmierci. Małe Arkana - 56 kart zgrupowanych w czterech kolorach, w każdym po czternaście kart. Obiekt wróżby - osoba pytająca, ktoś na kogo rozkładamy karty. W położeniu odwróconym: osoba chora psychicznie, o niezrównoważonej osobowości, a także rozchwianych emocjach, bardzo trudna w kontaktach, nerwowa, wymagająca stałej opieki oraz poświęcenia ze strony rodziny i znajomych, brak własnej woli, podatność na wpływy, chwiejny charakter, neurastenia, schizofrenia, depresje, zaburzenia osobowości, skłonności autodestrukcyjne, wskazuje na konieczność pracy nad własnym charakterem, umacniania woli i bardziej świadomego kształtowania swego życia, należy też odpracować długi karmiczne w relacjach z bliskimi. W położeniu prostym: wskazuje na konieczność przepracowania zagadnień związanych z uczuciami, sprawami partnerskimi, emocjami i prawidłowymi kontaktami z ludźmi, sugeruje problemy z okazywaniem uczuć i wszelkiego rodzaju ekspresją emocjonalną, w tym także artystyczną, osoba, u której w analizowanym wcieleniu występowała dysharmonia emocjonalna. 1) karma czarna - nabywana w trakcie życia pełnego niegodziwości i haniebnych czynów. Dzieli się ona na zewnętrzną, uwarunkowaną negatywnym traktowaniem innych osób - obrażania ich, upokarzania itp. oraz wewnętrzną (mentalną), zdeterminowaną negatywnymi stanami własnej duszy: zawiścią, niewiarą, cynizmem itd. 2) karma biała - kształtuje się w wyniku określonego stanu świadomości - szlachetności i dobroci, które to nastawienie cenione jest nawet wyżej od określonych czynów. Księżycem - życie w świecie iluzji i marzeń. W położeniu odwróconym: życie ponad stan, dochody uzyskiwane z podejrzanych źródeł, ciągłe szukanie pomocy u innych, wykorzystywanie ludzi, uwikłanie się w sytuacje bez wyjścia, przyjmowanie lub dawanie łapówek, negowanie lub ignorowanie duchowej strony życia. Światem - odkrywca i badacz nieznanych ziem. W położeniu odwróconym: łapówkarz, przekupny sędzia, oszust, sprzedajny polityk, człowiek bez wykształcenia, ateista, marksista, konkwistador, przywódca sekty, rzeźnik, nieuczciwy urzędnik, koniokrad, komiwojażer, osoba, która nieuczciwie doszła do majątku. Problemy zdrowotne z wątrobą, paraliż, reumatyzm, ischias. Światem - podchodzenie do wszystkiego wyłącznie w sposób intelektualny. W położeniu odwróconym: wprowadzanie ciągłych zmian i korekt, chaotyczność myślenia, gonitwa myślowa, wprowadzanie w istniejącą sytuację zmian bez wyraźnej potrzeby, marazm, myślenie schematyczne, uporczywe trwanie przy starych poglądach, rutynowy tok myślenia. Są takie momenty w życiu, sądzę, że w mniejszym lub większym stopniu doświadczył ich każdy, kiedy w chwili przebłysku dostrzegamy z wyjątkową wyrazistością sens tego wszystkiego, co robiliśmy, czuliśmy i doświadczaliśmy oraz uświadomienie sobie tego, że wszystkie rzeczy i osoby są na swoim miejscu, a wydarzenia toczą się tak, jak powinny. Dążenie do oświecenia, to dążenie do takiego właśnie stanu, ale przeżywanego permanentnie, przez cały czas. Śmiercią - praca wykonywana pod ziemią. W położeniu odwróconym: dywersant, wynalazca lub producent materiałów wybuchowych, konstruktor skrytek i tajnych przejść, osoba, która torturowała innych, twórca narzędzi do tortur, nadzorca w kopalni złota lub kamieni szlachetnych. Problemy zdrowotne z kręgosłupem, układem kostnym i zębami, reumatyzm, problemy skórne. Słońcem - prawidłowe wykorzystanie posiadanych możliwości intelektualnych. W położeniu odwróconym: przekonanie o własnej nieomylności intelektualnej, brak odwagi do głoszenia własnych poglądów, niechęć do solidnej pracy, pobieżność w ocenie sytuacji, brak taktu i dyplomacji, nieumiejętność przestrzegania obowiązujących norm społecznych, zaciąganie zobowiązań karmicznych w sferze intelektualnej. - Czy pani wie, gdzie jest?"
2581,2581,"- chrześcijanin w świecie energii: modlitwa, praca i świadectwo"". W RAMACH ""LATA Z CHOPINEM"" (recitale fortepianowe we ""Floriance"" przy ul. Basztowej 8, bilety po 8 i 5 zł do nabycia przed koncertem) - 1 sieprnia o godz. 17 wystąpi Marta Komorowska. W ALTANIE MUZYCZNEJ DWORKU BIAŁOPRĄDNICKIEGO (ul. Papiernicza 2) - w każdą niedzielę o godz. 16 letnie koncerty kameralne. - Warta SA jest nadal zainteresowana przejęciem portfela i sieci dystrybucji Polisy SA, pomimo odebrania jej licencji - poinformował prezes Warty SA. Agenor Gawrzyał powiedział na konferencji prasowej, że Warta ocenia, iż środki potrzebne do sanacji portfela Polisy i pokrycia marginesu wypłacalności wyniosą ok. 270-300 mln zł. Rada Dzielnicy I zwróciła się także do Komisji Promocji, Współpracy i Informacji Rady Miasta Krakowa, by ta zobowiązała odpowiednie wydziały UM i instytucje do umieszczania na planach miastach i folderach informacji o toaletach publicznych. Zdaniem radnych, toalet publicznych jest zdecydowanie za mało. Na osiem miesięcy więzienia w zawieszeniu na dwa lata skazał Sąd Rejonowy w Głogowie (Dolnośląskie) właściciela psa, który bezczynnie przyglądał się jak jego zwierzę gryzie kobietę. 34-letniego głogowianina sąd uznał winnym, tego że nie pomógł zaatakowanej przez jego owczarka kobiecie, pozostawiając ją w sytuacji grożącej nawet utratą życia. Jacek Sz. nie zainteresował się losem poszkodowanej kobiety. Marian Krzaklewski powiedział, że odwołanie wiceministra Wutzowa nie było jednym z warunków UW, od spełnienia których uzależniła ona pozostanie w koalicji. Przewodniczący AWS wyjaśnił, że UW ""nie mówiła o nazwiskach"", ale o ocenie ministrów, należących zarówno do UW, jak i AWS, w pracy których ""nastąpiły bardzo poważne błędy"". W klasie okręgowej sędzia główny otrzyma 90 zł brutto, asystenci po 75 zł brutto, w klasie A trzeba się liczyć z wydatkiem 165 zł brutto (65 zł dla arbitra głównego oraz po 50 zł). W pozostałych klasach seniorów (""B"" i ""C"") sędziowie główni pobierać będą opłatę 50 zł i po 40 zł sędziowie liniowi, o ile na tych zawodach zjawi się trójka sędziowska. KERM odrzucił 12 sierpnia przygotowaną przez Ministerstwo Gospodarki korektę programu restrukturyzacji górnictwa, zalecając dodatkową redukcję zatrudnienia i zwiększenie liczby zamykanych kopalń. Zdaniem Steinhoffa ""pogłębienie"" przygotowanych przez MG zmian w programie oznaczałoby konieczność zwalniania górników bez osłon. Korekta przygotowana przez MG zawiera m.in. przyspieszenie tempa likwidacji kopalń, odejście dodatkowych 10 tys. osób, zwiększenie o 10 mln ton redukcji mocy wydobywczych oraz opóźnienie o rok osiągnięcia rentowności przez górnictwo. Przebieg incydentu został sfilmowany przez reportera rosyjskiej prywatnej telewizji NTV. Według relacji świadków, gdy biały opel frontera zbliżył się do ambasady, wyskoczył z niego człowiek ubrany w panterkę, z granatnikiem w ręku, i próbował odpalić granat w kierunku ambasady. Granatnik jednak nie wypalił, po czym terrorysta rzucił go na ziemię. Zasiłki przyznawane będą na mocy rozporządzenia Rady Ministrów w sprawie pomocy dla osób przybyłych do Rzeczypospolitej Polskiej na podstawie wizy repatriacyjnej. Oprócz zwrotu kosztów podróży osoby dorosłe dostaną na zagospodarowanie się dwukrotność średniego miesięcznego wynagrodzenia, dzieci zaś dodatek szkolny w wysokości 50 proc. tego wynagrodzenia."
2951,2951,"Krzaklewski: Jeśli chodzi, ja wiem... Rodzina wita młodych w domu weselnym chlebem solą i dwoma kieliszkami z przezroczystym płynem. W jednym jest woda, w drugim wódka. Ten z nowożeńców, któremu trafi się kieliszek z alkoholem, będzie rządził w domu. Po spełnieniu toastu świeżo upieczeni małżonkowie rzucają za siebie kieliszki. Jeśli się potłuką, młodą parę czeka życie dostatnie i bezproblemowe. Jeżeli katolicki naród, głosując zgodnie z Boską wolą, wybierze sobie na prezydenta komucha i hitlerowca, Kwaśniewskiego - to już wiadomo, jak tę decyzję opatrzności zinterpretuje kler skupiony wokół swej gazety. Wybory zostały sfałszowane - zawoła. I Boska wola też. – Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi sędzia Rafał Lisak, rzecznik prasowy Sądu Okręgowego w Krakowie. – Śląsko-dąbrowska „Solidarność” wiedziała o tym, że pan Piotr B. został zatrzymany, natomiast z naszej strony żadnego poręczenia nie było. To inicjatywa sekcji branżowej związku, która jest odrębną strukturą – mówi Wojciech Gumułka, rzecznik prasowy Zarządu Regionu NSZZ „Solidarność” w Katowicach. Pijany przewodniczący Rady Gminy Grabowo spowodował wypadek. Wracał z sesji, na której lampką szampana radni i sołtysi pożegnali stary rok. W Drygałach koło Białej Piskiej zatrzymany do kontroli 47-letni kierowca zionął na policjantów czosnkiem. Policjanci alkoholu nie poczuli, ale na wszelki wypadek kazali mu dmuchnąć w alkomat. Wynik: 3,2 promila. Kierowca przyznał, że używa czosnku jako zagrychy, by w razie potrzeby oszukać węch policjantów. Jeden z pracowników firmy oddelegowany został do wyjaśnienia całej sprawy na miejscu. W wyniku jego ustaleń wyszło na jaw, że reklamowanej lalki pan Mosher nawet nie wyjął z opakowania. Wsadził ją do schowka pod schodami. Zajął się natomiast Elisą Smarth, dziewczyną, która miejscowemu dealerowi ""SoftPenny"" pomagała przy doręczaniu klientom towarów - i z naiwną wiarą w możliwości współczesnej techniki, traktował ją, jak zamówioną przez siebie lalkę. Na szczęście w sklepie chleba nie brakuje. Przyjeżdża więc Zyga, kupuje bochen i z ludźmi rozmawia. Bo jest politykiem, tylko czasu nie ma, żeby się tej dziedzinie bez reszty poświęcić. Ale jak znajdzie chwilę, to powie tak, że dech zapiera. Na przykład, że najwięksi złodzieje to doktory, adwokaty i klechy. Za klechami Zyga nie jest. – Rzucili się na pana?"
2959,2959,"Niestety, nazajutrz spotkał nas zawód. – Wie pan co, ona ma inne rzeczy na głowie niż takie tam rzeczy. Nie wiem, do czego wam to potrzebne, ja tutaj zajmuję się biurem poselskim. I nie, nie skontaktuję pana z panią poseł – powiedziała rozbawionym tonem pracownica biura. Pomysł, żeby tak inaugurować tę wystawę mógł się zrodzić w głowie kogoś, kto ma tam kloakę, czyli gówno wie o złożoności relacji między ustrojem, kulturą i higieną. Zdecydowana większość toalet w II RP to były lasy, siłą rzeczy brudniejsze niż w PRL-u. W III RP można nawet powiedzieć, że gdzieniegdzie sracze są enklawami czystości, ale wynika to ze wzrostu komercji, a nie z postępów kultury. Brud zmienił tylko lokalizację. Łatwo jest zarzucić sędziemu Zbigniewowi Wielkanowskiemu, że znał się blisko z facetem podejrzewanym o kierowanie niebezpiecznym gangiem. To dobrze się czyta, szczególnie gdy poda się, że sędzia i gangster razem polowali i próbowali nurkować. Przemilcza się jednak, że hen jeszcze w 1995 r. Prokuratura Wojewódzka w Gdańsku (sprawa V Ds 49/95) umorzyła śledztwo, które dotyczyło m.in. powiązań sędziego z gangsterami stwierdzając, że nie miały one charakteru przestępczego. Generalnie jedna trzecia tegorocznego urobku powstała na półfabrykatach wytworzonych za granicą, w krajach o niskim stopniu rozwoju: w Meksyku, Polsce, Wietnamie i na Filipinach. Warto odnotować, iż półfabrykaty są poddawane starannej i długotrwałej kontroli: alumni z importu mieszkają w USA średnio od 13 lat. Pragnę zwrócić uwagę, że stopa bezrobocia spadła poniżej 10 proc. dopiero w okresie rządów koalicji AWS-UW. Stopę bezrobocia poniżej 10 proc. notowano od maja 1998 r. (9,7 proc.) do listopada 1998 r. (9,9 proc.). Najniższy wskaźnik bezrobocia zanotowano w sierpniu 1998 r. i wyniósł on 9,5 proc. Autorzy pism skierowanych do Rady Miejskiej powołują się gęsto na opinię publiczną, więc na własną rękę zrobiliśmy małą sondę na jednej z ulic miasta. Chyba jednak wybraliśmy trefnie, bo na 43 przepytane osoby, 41 wypowiedziało się na temat pomysłu stawiania takiego pomnika zdecydowanie negatywnie, z tego ponad połowa używała słów powszechnie uznawanych za obelżywe. Przy czym adresatem tych słów była, wstyd powiedzieć, instytucja Kościoła kat., a radomskiego w szczególności. Fred jest ciepły, tęgi, w dresie. Brat łata. W całym swoim życiu siedział tylko kilka miesięcy za pobicie policjanta. Przed dyskoteką. – Upokorzyłem go. Szarpnąłem za ucho, bo nie lubiłem tego faceta – pamięta Fred. – To był klient, który po godzinach służby wynajmował się do cieciowania. Wtedy strzelił do mnie, przewróciłem się... – opowiada. Tydzień wcześniej w łódzkim Szpitalu im. Rydygiera otwarto „okno nadziei”, gdzie kobiety mogą zostawiać swoje niechciane, nowo narodzone dzieci. To realizacja opracowanego przez władze miasta programu „Mamo!"
3090,3090,"5 minut zajęło Zielińskiej tłumaczenie, że nie ma pokarmu, że sztuczne mleko ratuje dzieciaka od śmierci głodowej. – To nie może pani dawać dziecku normalnego mleka – dziwiła się sędzia Kubczak. – Ile pan zarabia?"
3091,3091,"– zapytała sędzia ojca dziecka Zielińskiej. Zerbst - zmarła kilka godzin później w szpitalu. Według oficjalnej wersji, za kierownicą Hyundaia siedziała żona szefa białostockiej filharmonii - Zofia B. Pan małżonek (Mirosław B.) znajdował się z tyłu i był - jak sam zeznał - ździebko narąbany, ponieważ towarzycho wracało jak raz z knajpy. Obok Zofii B. siedział jeszcze członek góralskiej kapeli z Zakopanego. – Kogo pan się tak boi?"
