,type,source_sentence,target_sentence,generated_text,score,lev
0,0,W przypadku tych ostatnich gatunków kopulacja odbywa się bez penetracji samic poprzez styk nabrzmiałych warg kloak.,W przypadku tych ostatnich gatunków kopulacja odbywa się bez penetracji samic poprzez styk nabrzmiałych warg kloak.,W przypadku tych ostatnich gatunków kopulacja odbywa się bez penetracji samic poprzez styk nabrzmiałych warg kloak.,1,0.0
1,0,"Ja dziś, daję ci najświętsze słowo, zamiast ściągać pasek musiałem go trochę rozluźnić!","Ja dziś, daję ci najświętsze słowo, zamiast ściągać pasek musiałem go trochę rozluźnić!","Ja dziś, daję ci najświętsze słowo, zamiast ściągać pasek musiałem go trochę rozluźnić!",1,0.0
2,0,"Obejmuje ona badania lekarskie, zabiegi chirurgiczne oraz pooperacyjną opiekę, a także zapewnia bezpłatne lub refundowane leki na wiele chorób.","Obejmuje ona badania lekarskie, zabiegi chirurgiczne oraz pooperacyjną opiekę, a także zapewnia bezpłatne lub refundowane leki na wiele chorób.","Obejmuje ona badania lekarskie, zabiegi chirurgiczne oraz pooperacyjną opiekę, a także zapewnia bezpłatne lub refundowane leki na wiele chorób.",1,0.0
6,0,Za żadne pieniądze kobyły tej nie sprzedał.,Za żadne pieniądze kobyły tej nie sprzedał.,Za żadne pieniądze kobyły tej nie sprzedał.,1,0.0
8,0,Trasy europejskie przebiegające przez Bośnię i Hercegowinę.,Trasy europejskie przebiegające przez Bośnię i Hercegowinę.,Trasy europejskie przebiegające przez Bośnię i Hercegowinę.,1,0.0
9,0,"Przewodność cieplna – drewno źle przewodzi ciepło, zatem jest dobrym izolatorem.","Przewodność cieplna – drewno źle przewodzi ciepło, zatem jest dobrym izolatorem.","Przewodność cieplna – drewno źle przewodzi ciepło, zatem jest dobrym izolatorem.",1,0.0
10,0,64 tys. km.,64 tys. km.,64 tys. km.,1,0.0
14,0,"Główne miasta Siedmiogrodu to Braszów, Kluż-Napoka i Sybin.","Główne miasta Siedmiogrodu to Braszów, Kluż-Napoka i Sybin.","Główne miasta Siedmiogrodu to Braszów, Kluż-Napoka i Sybin.",1,0.0
16,0,"Pojawienie się słowa „dinozaur” w języku potocznym odzwierciedla ich znaczenie, np. w języku angielskim słowem tym określa się coś niepraktycznie wielkiego, przestarzałego, zmierzającego ku zagładzie.","Pojawienie się słowa „dinozaur” w języku potocznym odzwierciedla ich znaczenie, np. w języku angielskim słowem tym określa się coś niepraktycznie wielkiego, przestarzałego, zmierzającego ku zagładzie.","Pojawienie się słowa „dinozaur” w języku potocznym odzwierciedla ich znaczenie, np. w języku angielskim słowem tym określa się coś niepraktycznie wielkiego, przestarzałego, zmierzającego ku zagładzie.",1,0.0
17,0,Włochy cechuje wyżynny i górzysty krajobraz.,Włochy cechuje wyżynny i górzysty krajobraz.,Włochy cechuje wyżynny i górzysty krajobraz.,1,0.0
