type;source_sentence;target_sentence
1;Zginęło wtedy dwóch pilotów.;Zginęły wtedy dwie osoby pilockie.
1;Właśnie dzisiaj obejrzałem ten film pierwszy raz na HBO, nie powala na kolana, ale interesuje podjętą problematyką, kwestią moralności adwokatów, ogólnie mi się podobał, szczególnie końcówka, zaiste wg mnie w mało holywoodzkim stylu.;Właśnie dzisiaj obejrzałem ten film pierwszy raz na HBO, nie powala na kolana, ale interesuje podjętą problematyką, kwestią moralności osób adwokackich, ogólnie mi się podobał, szczególnie końcówka, zaiste wg mnie w mało holywoodzkim stylu.
1;"""Człowiek, który wyznaje cudze grzechy; czuje się czysty jak lilia w ogrodzie praczki.";"""Człowiek, który wyznaje cudze grzechy; czuje się czysty jak lilia w ogrodzie osoby prackiej."
1;I tak jak badacz po wielu żmudnych próbach doznawszy olśnienia znajduje klucz do zagadki, tak też i ja znalazłem.;I tak jak osoba badacka po wielu żmudnych próbach doznawszy olśnienia znajduje klucz do zagadki, tak też i ja znalazłem.
1;Wiele z tych eksponatów przywędrowało do Szkoły z okrętów - pomagają teraz słuchaczom w ugruntowaniu zdobywanej wiedzy teoretycznej.;Wiele z tych eksponatów przywędrowało do Szkoły z okrętów - pomagają teraz osobom słuchackim w ugruntowaniu zdobywanej wiedzy teoretycznej.
1;– Proponuję stanowisko spawacza.;– Proponuję stanowisko osoby spawackiej.
1;Obecna lokatorka mieszkania na Bohaterów Getta od kilku lat.;Obecna osoba lokatorska mieszkania na Bohaterów Getta od kilku lat.
1;– Jakaś nadgorliwa redaktorka rozdmuchała sprawę w Gazecie Malborskiej – powiedział.;– Jakaś nadgorliwa osoba lokatorska rozdmuchała sprawę w Gazecie Malborskiej – powiedział.
1;Zza kulis wychodzi aktorka grająca Magdalenkę.;Zza kulis wychodzi osoba aktorska grająca Magdalenkę.
1;Potem schody w dół i wyciągnięta dłoń konduktorki.;Potem schody w dół i wyciągnięta dłoń osoby koduktorskiej.
1;"Po przeczytaniu artykułu Małgorzaty Szejnert ""Bez miejsca"" (""Gazeta"" nr 288) doszedłem do wniosku, że autorka zbyt jednostronnie przedstawiła sprawę Galerii Foksal.";"Po przeczytaniu artykułu Małgorzaty Szejnert ""Bez miejsca"" (""Gazeta"" nr 288) doszedłem do wniosku, że osoba autorska zbyt jednostronnie przedstawiła sprawę Galerii Foksal."
1;Nie pamiętam, czy czasem nie odpowiadałem na to pytanie, ale jeśli nie, to: 1. Jodie Foster reszty nie chcę mi się pisać, generowanie ulubionych aktorek dugo trwa, a jeszcze tyle postów do przeczytania...;Nie pamiętam, czy czasem nie odpowiadałem na to pytanie, ale jeśli nie, to: 1. Jodie Foster reszty nie chcę mi się pisać, generowanie ulubionych osób aktorskich dugo trwa, a jeszcze tyle postów do przeczytania...
1;I nie ma takiej siły, która zmusiłaby aktorkę do rozstania z dzieckiem choćby na jeden dzień.;I nie ma takiej siły, która zmusiłaby osobę aktorską do rozstania z dzieckiem choćby na jeden dzień.
1;Tego samego dnia pewna lokatorka odleglejszych bloków susząc suszarką włosy swemu dziecku siedzącemu w wannie, w kąpieli, upuściła suszarkę do wody i uśmierciła siebie i dziecko.;Tego samego dnia pewna osoba lokatorska odleglejszych bloków susząc suszarką włosy swemu dziecku siedzącemu w wannie, w kąpieli, upuściła suszarkę do wody i uśmierciła siebie i dziecko.
1;Sąd zajął stanowisko, iż publikacja była naruszeniem prawa do ochrony życia prywatnego i przyznał aktorce odszkodowanie w wysokości 430 tys. Dolarów.;Sąd zajął stanowisko, iż publikacja była naruszeniem prawa do ochrony życia prywatnego i przyznał osobie aktorskiej odszkodowanie w wysokości 430 tys. Dolarów.
1;– Uuu, niegrzeczny prokuratorek.;– Uuu, niegrzeczna osoba prokuratorska.
1;nie pamiętam w tej chwili autorki.;nie pamiętam w tej chwili osoby autorskiej.
1;Martyna Rux, autorka programu, obiecała, że ta piękna rzeźba stać będzie w redakcji na honorowym miejscu.;Martyna Rux, osoba autorska programu, obiecała, że ta piękna rzeźba stać będzie w redakcji na honorowym miejscu.
1;Inny typ pod względem faktury stanowią tabulatury, których autorzy wprowadzają zmiany w stosunku do pierwowzoru opracowywanej kompozycji.;Inny typ pod względem faktury stanowią tabulatury, których osoby autorskiej wprowadzają zmiany w stosunku do pierwowzoru opracowywanej kompozycji.
1;W ten sposób zaprotestowali przeciwko wprowadzeniu do porządku obrad punktu dotyczącego wyrażenia zgody na zwolnienie z pracy przez zarząd województwa pomorskiego Jana Szmiendowskiego, dyrektora Szpitala Specjalistycznego w Prabutach.;W ten sposób zaprotestowali przeciwko wprowadzeniu do porządku obrad punktu dotyczącego wyrażenia zgody na zwolnienie z pracy przez zarząd województwa pomorskiego Jana Szmiendowskiego, osoby dyrektorskiej Szpitala Specjalistycznego w Prabutach.
1;Ze swej funkcji, z dniem 31 sierpnia, zrezygnowała dyrektor Szkoły Podstawowej w Turzu.;Ze swej funkcji, z dniem 31 sierpnia, zrezygnowała osoba dyrektorska Szkoły Podstawowej w Turzu.
1;"Czarnym bardzo to nie na rączkę, ale nie udało się im wykurzyć niechcianych lokatorów (pisaliśmy o tym w ""NIE"" nr 20/2003 w artykule pt.""Kundelek się modli"").";"Czarnym bardzo to nie na rączkę, ale nie udało się im wykurzyć niechcianych osób lokatorskich (pisaliśmy o tym w ""NIE"" nr 20/2003 w artykule pt.""Kundelek się modli"")."
