type;source_sentence
1;Pamiętamy o niej, darzymy zaufaniem i sympatią - mówi burmistrz Lidia Grabowska.
1;Marek Wolski, burmistrz Jędrzejowa, zapewnia nas, że zaprosił Gosiewskiego tylko do wspólnego spaceru po stadionie.
1;Słowo PiS ani partia nie padło - opowiada burmistrz Jędrzejowa.
1;Trudno, by burmistrz odganiał posła od mikrofonu.
1;"Wiceburmistrz Polkowic Stanisława Bocian skierowała w tej sprawie protest do KGHM, uznając za ""niedopuszczalne, aby działalność spółki powodowała takie zagrożenia dla mieszkańców gminy""."
1;Współpracowałem z SB - ujawnia Roman Wrocławski, mistrz świata z 1982 roku.
1;Burmistrz brazylijskiego miasta Bocaiura do Sul w stanie Parana, ogłosił bezpłatne rozdawanie mężczyznom viagry.
1;Burmistrz Wiesław Śniecikowski gwarantuje, że w tym roku fajerwerki będą bardzo efektowne.
1;Dzieło nie jest dokończone, ale twarz, głowę, ramiona mistrz zdążył już oddać w szczegółach.
1;Burmistrz koordynuje funkcjonowanie krajowego systemu ratowniczo-gaśniczego na obszarze gminy w zakresie ustalonym przez wojewodę.
1;Uczył w szkołach podstawowych, średnich i studium, w latach 1990-1994 wiceburmistrz gminy Ćmielów.
1;Wydawnictwo Amber pomaga nam zrozumieć, z kim mamy do czynienia: Mistrz thrillera prawniczego, chlubnie kontynuujący tradycję Johna Grishama.
1;Chce ich promować np. sam mistrz Laurent, który ma jeden ze swoich salonów także w Lublinie.
1;Burmistrz, Zbigniew Grzesiak, wyjaśnił, że są trudności w porozumieniu się z Urzędem Rejonowym.
1;Jak się dowiedzieliśmy, nie ma obowiązku rozpisywania konkursu na radę, a burmistrz miasta obligatoryjnie powołuje organ do życia, co też uczynił.
1;Kim w ogóle ma być burmistrz?
1;Babcia chciała kupić dolary w Iławie, ale zegarmistrz żądał po sto dziesięć złotych.
1;Lekcja kończy się rozczarowaniem, ale mistrz wydaje się daleki od rezygnacji.
1;Ośrodkowi patronować ma zawodowy mistrz świata Dariusz Michalczewski.
1;Niekoniecznie musi być nim profesjonalny kuchmistrz.
1;Był wielki świat - wstęgę przecinał wraz z Andrzejam Stochem i Romanem Bulasem wiceburmistrz Krzysztof Owczarek, a wokół szwedzkiego stołu krzątały się rzesze zaproszonych i przygodnych gości.
1;Amerykański eskmistrz świata wagi ciężkiej Mike Tyson (na zdjęciu) powrócił na ring po odzyskaniu licencji.
1;FC Nantes - mistrz Francji, który wygrał w Paryżu przed rokiem 3:0, został rozgromiony w sobotę 5:0.
1;"""Tylko uprzedzam, konia trzeba będzie samemu czyścić""  - przestrzegał rotmistrz."
1;Przypomnijmy, że w marcu do powiatu gostyńskiego przyjechali Klaus Behrens, burmistrz powiatowego miasta Hoxter.
1;Jednocześnie burmistrz gminy w Pelplinie zwrócił się o pomoc finansową związaną z organizacją wizyty Jana Pawła II.
1;Baletmistrzyni, była solistka Baletu Hamburskiego (Hamburg Ballett). Urodziła się w Puerto Rico.
1;Baletmistrzyni przez ostatnie tygodnie przygotowywała pary solowe do premiery GISELLE Adolphe'a Adama.
1;Rachmistrz to osoba zawodowo zajmująca się liczeniem, głównie przeliczaniem ksiąg przychodów i rozchodów.
1;"Była mistrzyni świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem."
1;- Postawiłam sprawę na radzie gminy - opowiada pani burmistrz.
1;Muzeum homoseksualizmu otwierał nadburmistrz Berlina Klaus Wowereit.
1;Burmistrz Ustki rzucił się do budowania największego w Polsce kompleksu boisk do siatkówki, a władze Debrzna nie zapomniały o elektrowni jądrowej.
1;To będzie nas kosztować około 5 tysięcy zł, ale trzeba w to zainwestować, bo na razie ani ja, ani oni nie są w stanie zdecydować z czystym sumieniem, gdzie będzie nam lepiej - dodaje burmistrz.
